,PROPERTY_TYPE,CITY,OWNTYPE,BEDROOM_NUM,FURNISH,FACING,AGE,TOTAL_FLOOR,PRICE_SQFT,AREA,SUPERBUILTUP_SQFT,PRICE,BALCONY_NUM,FLOOR_NUM,BHK,LOCALITY,LATITUDE,LONGITUDE,LUXURY,CARPET_SQFT
6506,Independent/Builder Floor,Gurgaon,1,3.0,1,5,3,2.0,10000.0,1550,,15500000.0,3.0,1,3.0,Malibu Town,28.425675,77.043508,Luxury,1500.0
6507,Independent/Builder Floor,Gurgaon,1,3.0,1,5,1,4.0,12222.0,1800,,22000000.0,3.0,1,3.0,South City 2,28.418353,77.053084,Luxury,1650.0
6508,Residential Apartment,Gurgaon,1,3.0,2,3,5,4.0,10632.0,1672,1672.0,17800000.0,3.0,4,3.0,Sector 76,28.393465,76.988789,Luxury,
6509,Residential Apartment,Gurgaon,1,3.0,2,3,5,4.0,10795.0,1371,1371.0,14800000.0,3.0,4,3.0,Sector 76,28.393465,76.988789,Luxury,
6510,Independent/Builder Floor,Gurgaon,1,3.0,4,6,5,4.0,23039.0,1470,1470.0,23500000.0,2.0,1,,Sector 63A,28.39098,77.08761,Luxury,1020.0
6511,Residential Apartment,Gurgaon,1,4.0,4,5,1,27.0,22866.0,4480,4480.0,71000000.0,1.0,9,4.0,Sector 62,28.41201,77.09085,Luxury,3105.0
6512,Residential Apartment,Gurgaon,1,4.0,4,5,1,39.0,25851.0,2800,2800.0,44000000.0,3.0,18,4.0,Sector 60,28.39988,77.09654,Luxury,1702.0
6513,Residential Apartment,Gurgaon,1,2.0,4,6,6,32.0,15912.0,1508,1508.26,24000000.0,2.0,11,2.0,Sector 62,28.40381,77.0853214,Luxury,890.0
6514,Residential Apartment,Gurgaon,1,3.0,2,3,6,20.0,6451.0,1550,1550.0,10000000.0,4.0,6,3.0,Sector 99A,28.46252,76.951718,Luxury,
6515,Independent/Builder Floor,Gurgaon,1,3.0,4,5,6,3.0,15277.0,1800,,27500000.0,2.0,3,,DLF Phase 2,28.489563,77.087681,Luxury,1800.0
6516,Independent/Builder Floor,Gurgaon,1,3.0,4,5,6,3.0,15133.0,1500,,22700000.0,2.0,3,,DLF Phase 2,28.4889627,77.0866646,Luxury,1500.0
6517,Residential Apartment,Gurgaon,1,3.0,4,5,1,30.0,18524.0,3023,3023.0,56000000.0,2.0,10,3.0,Sector 59,28.409463,77.108186,Luxury,1632.11
6518,Independent/Builder Floor,Gurgaon,1,3.0,4,1,6,4.0,91439.0,2313,2313.0000000002315,23500000.0,2.0,4,3.0,Sector 57,28.4234414,77.0765927,Luxury,
6519,Independent/Builder Floor,Gurgaon,1,3.0,4,1,6,4.0,87548.0,2313,2313.0000000002315,22500000.0,2.0,1,,Sector 57,28.4234414,77.0765927,Luxury,
6520,Residential Apartment,Gurgaon,1,2.0,4,1,1,19.0,9799.0,1296,1296.0,12700000.0,2.0,7,2.0,Sector 67A,28.386101,77.070028,Luxury,
6521,Residential Apartment,Gurgaon,1,4.0,4,0,6,4.0,33333.0,999,,33300000.0,2.0,1,4.0,DLF Phase 2,28.4889627,77.0866646,Luxury,999.0
6522,Independent/Builder Floor,Gurgaon,1,,4,1,6,4.0,14814.0,2700,,40000000.0,,1,4.0,DLF Phase 2,28.4889627,77.0866646,Luxury,2700.0
6523,Independent/Builder Floor,Gurgaon,1,4.0,4,0,6,4.0,13888.0,2700,,37500000.0,4.0,1,,DLF Phase 1,28.4754909,77.1032095,Luxury,2700.0
6524,Residential Apartment,Gurgaon,1,3.0,2,3,5,33.0,19570.0,2095,2095.0,41000000.0,4.0,6,3.0,Sector 59,28.409433,77.105276,Luxury,
6525,Residential Apartment,Gurgaon,1,3.0,2,3,2,40.0,17128.0,3211,3211.0,55000000.0,4.0,9,3.0,Sector 65,28.401137,77.064929,Luxury,
6526,Residential Apartment,Gurgaon,1,4.0,2,3,2,40.0,18007.0,5098,5098.0,91800000.0,4.0,10,4.0,Sector 65,28.401137,77.064929,Luxury,
6527,Residential Apartment,Gurgaon,1,3.0,2,3,2,40.0,19133.0,2979,2979.0,57000000.0,4.0,3,3.0,Sector 65,28.401137,77.064929,Luxury,
6528,Residential Apartment,Gurgaon,1,3.0,4,0,6,20.0,8012.0,1997,1997.0,16000000.0,3.0,5,,Sector 99A,28.4538855,76.9540346,Luxury,
6529,Residential Apartment,Gurgaon,1,4.0,4,1,2,12.0,12356.0,2954,2954.0,36500000.0,4.0,G,4.0,Sector 28,28.475639,77.0823482,Luxury,2680.0
6530,Residential Apartment,Gurgaon,1,3.0,4,5,3,19.0,10192.0,1815,1815.0,18500000.0,4.0,5,3.0,Nirvana Country,28.4157635,77.0600205,Luxury,
6531,Independent House/Villa,Gurgaon,1,2.0,1,5,5,21.0,22000.0,1330,,29000000.0,2.0,,,Sector 113,28.532594,77.020297,Luxury,
6532,Residential Apartment,Gurgaon,1,2.0,4,3,3,19.0,10578.0,1418,1418.0,15000000.0,4.0,9,2.0,Nirvana Country,28.4156379,77.0594745,Luxury,
6533,Independent/Builder Floor,Gurgaon,1,4.0,4,5,6,4.0,89353.0,2367,2367.0000000002365,23500000.0,2.0,2,4.0,Sector 57,28.4234414,77.0765927,Luxury,
6534,Residential Apartment,Gurgaon,1,3.0,0,5,3,17.0,13235.0,2531,2531.0,33500000.0,3.0,2,,Nirvana Country,28.42049,77.06328,Luxury,
6535,Independent/Builder Floor,Gurgaon,2,2.0,4,3,1,2.0,9149.0,1093,,10000000.0,3.0,2,2.0,Sector-33 Sohna,28.283817,77.077636,Luxury,1093.0
6536,Independent/Builder Floor,Gurgaon,1,3.0,4,3,6,4.0,11351.0,1850,,21000000.0,2.0,4,3.0,Sector 57,28.4234414,77.0765927,Luxury,1850.0
6537,Residential Apartment,Gurgaon,1,3.0,2,3,6,30.0,11645.0,2018,2018.0,23500000.0,3.0,14,3.0,Sector 74,28.4164,77.01262,Luxury,
6538,Residential Apartment,Gurgaon,1,2.0,2,3,6,30.0,11502.0,1424,1424.0,16399999.999999998,3.0,23,2.0,Sector 74,28.4164,77.01262,Luxury,
6539,Residential Apartment,Gurgaon,1,2.0,2,3,6,30.0,11450.0,1406,1406.0,16100000.000000002,2.0,10,2.0,Sector 74,28.4017141,77.0084467,Luxury,
