,PROPERTY_TYPE,CITY,OWNTYPE,BEDROOM_NUM,FURNISH,FACING,AGE,TOTAL_FLOOR,PRICE_SQFT,AREA,PRICE,BALCONY_NUM,FLOOR_NUM,BHK,LOCALITY,LATITUDE,LONGITUDE,LUXURY
9631,Independent/Builder Floor,Gurgaon,1,2.0,4,5,5,4,6638.0,1190.0,7900000.0,3,2,2,Sector 92,28.412695,76.9174417,Luxury
9632,Residential Apartment,Gurgaon,0,4.0,4,5,2,20,45.0,3979.0,1800000.0,3,16,4,DLF Phase 5,28.452895,77.095738,Luxury
9633,Independent House/Villa,Gurgaon,1,5.0,2,5,2,4,260000.0,4500.0,130000000.0,4,4,5,Sector 109,28.5126477,77.0075366,Luxury
9634,Residential Apartment,Gurgaon,1,2.0,4,5,1,13,6707.0,820.0,5500000.0,2,10,2,Sector 67,28.386708,77.062881,Luxury
9635,Residential Apartment,Gurgaon,1,3.0,4,3,2,39,16935.0,1919.0,32500000.0,3,2,3,Sector 60,28.39988,77.09654,Luxury
9637,Residential Apartment,Gurgaon,1,4.0,2,4,1,27,8571.0,3150.0,29500000.0,4,16,4,Sector 109,28.515309,77.003236,Luxury
9638,Independent House/Villa,Gurgaon,1,4.0,4,3,1,1,103846.0,5400.0,67500000.0,4,1,4,Sector 109,28.514331,76.996867,Luxury
9639,Residential Apartment,Gurgaon,1,4.0,2,3,5,34,14705.0,2720.0,40000000.0,4,12,4,Sector 106,28.509518516781,76.988676053722,Luxury
9640,Residential Apartment,Gurgaon,1,3.0,2,3,5,34,13736.0,2002.0,29000000.0,4,9,3,Sector 106,28.509518516781,76.988676053722,Luxury
9641,Residential Apartment,Gurgaon,1,3.0,2,3,5,34,13477.0,1855.0,25000000.0,4,7,3,Sector 106,28.509518516781,76.988676053722,Luxury
9642,Residential Apartment,Gurgaon,1,3.0,2,1,5,34,13415.0,1625.0,21500000.0,3,15,3,Sector 106,28.509518516781,76.988676053722,Luxury
9643,Residential Apartment,Gurgaon,1,2.0,2,3,5,34,11713.0,1366.0,16000000.0,4,5,2,Sector 106,28.509518516781,76.988676053722,Luxury
