,PROPERTY_TYPE,CITY,OWNTYPE,BEDROOM_NUM,FURNISH,FACING,AGE,TOTAL_FLOOR,PRICE_SQFT,AREA,PRICE,BALCONY_NUM,FLOOR_NUM,BHK,LOCALITY,LATITUDE,LONGITUDE,LUXURY
0,Residential Apartment,Secunderabad,1,2.0,2,4,1,5,5700.0,1215.0,692500000.0,1,2,2,Manikonda,17.575957,78.471167,Luxury
1,Residential Apartment,Hyderabad,1,3.0,4,3,5,30,5428.0,1658.0,9000000.0,3,9,3,Manikonda,17.58048163680935,78.93686802452929,Luxury
4,Independent House/Villa,Hyderabad,1,3.0,2,4,6,1,115960.0,3609.0,55000000.0,1,1,3,Manikonda,17.406421,78.616398,Luxury
5,Independent/Builder Floor,Hyderabad,1,2.0,4,2,3,2,7964.0,565.0,4500000.0,1,1,2,Manikonda,17.5316,78.26729,Luxury
6,Residential Apartment,Hyderabad,1,2.0,1,3,1,5,4771.0,1205.0,57500000.0,1,4,2,Manikonda,17.620662,77.953509,Luxury
7,Residential Apartment,Hyderabad,4,2.0,2,3,2,5,6528.0,1685.0,10500000.0,3,2,2,Manikonda,17.343347,78.513876,Luxury
8,Independent House/Villa,Secunderabad,1,2.0,0,1,3,1,109000.0,1746.0,21100000.0,0,1,2,Manikonda,17.42226,78.461683,Semi-luxury
9,Independent House/Villa,Secunderabad,1,7.0,4,4,1,3,183520.0,2403.0,49000000.0,4,3,7,Manikonda,17.458907,78.352402,Semi-luxury
10,Residential Apartment,Hyderabad,1,3.0,1,3,3,4,6188.0,1325.0,8200000.0,2,3,3,Manikonda,17.538237,78.480804,Budget
11,Residential Apartment,Hyderabad,1,2.0,0,3,5,22,7700.0,1433.0,13600000.000000002,2,13,2,Manikonda,17.396947,78.340246,Luxury
13,Independent House/Villa,Secunderabad,1,5.0,1,1,3,3,16250.0,4000.0,55000000.0,2,3,5,Manikonda,17.532558,78.529251,Luxury
14,Independent House/Villa,Secunderabad,1,2.0,2,2,3,1,12083.0,1764.0,14500000.0,0,1,2,Manikonda,17.4609913,78.3532083,Luxury
15,Independent House/Villa,Hyderabad,1,6.0,4,0,1,2,26000.0,2250.0,52000000.0,1,2,6,Manikonda,17.5227762257577,78.6210684465697,Semi-luxury
17,Independent/Builder Floor,Hyderabad,1,3.0,1,1,2,5,5990.0,1536.0,94500000.0,2,4,3,Manikonda,17.460537,78.497056,Luxury
18,Independent House/Villa,Hyderabad,3,2.0,2,2,3,1,100000.0,2862.0,31800000.0,0,1,2,Manikonda,78.48667,17.38504,Semi-luxury
19,Independent House/Villa,Hyderabad,1,10.0,2,0,2,2,4895.0,1800.0,23500000.0,2,2,10,Manikonda,17.500334,78.3275388,Luxury
20,Residential Apartment,Secunderabad,1,2.0,2,4,6,5,5638.0,1312.0,7400000.0,1,3,2,Manikonda,17.3858754,78.361176,Semi-luxury
21,Residential Apartment,Hyderabad,1,2.0,1,3,1,5,5833.0,1200.0,7000000.0,2,2,2,Manikonda,17.531253,78.390583,Luxury
22,Independent House/Villa,Hyderabad,1,3.0,2,3,6,2,13750.0,1600.0,22000000.0,2,2,3,Manikonda,17.538237,78.480804,Luxury
23,Residential Apartment,Hyderabad,1,3.0,2,1,3,5,3399.0,1765.0,6000000.0,1,4,3,Manikonda,17.442196,78.280067,Luxury
24,Residential Apartment,Hyderabad,1,3.0,4,3,1,5,7488.0,2270.0,17000000.0,2,5,3,Manikonda,17.518637,78.340735,Luxury
25,Independent House/Villa,Hyderabad,1,2.0,1,3,6,2,33879.0,1647.0,6200000.0,2,2,2,Manikonda,17.392278,78.353868,Luxury
26,Independent House/Villa,Hyderabad,1,3.0,1,5,3,2,11666.0,2400.0,28000000.0,1,2,3,Manikonda,78.48667,17.38504,Luxury
27,Residential Apartment,Hyderabad,1,3.0,2,5,5,4,4575.0,1530.0,7000000.0,2,3,3,Manikonda,17.407322,78.539665,Luxury
28,Residential Apartment,Hyderabad,1,3.0,2,1,3,4,5084.0,1475.0,7500000.0,2,1,3,Manikonda,17.62948,78.4943,Semi-luxury
29,Independent House/Villa,Secunderabad,1,4.0,4,3,3,3,17777.0,4500.0,75000000.0,3,3,4,Manikonda,17.4609913,78.3532083,Luxury
30,Residential Apartment,Hyderabad,1,3.0,2,0,5,40,6500.0,2600.0,16900000.0,1,12,3,Manikonda,17.6197,78.082693,Semi-luxury
31,Residential Apartment,Hyderabad,1,3.0,2,5,6,4,9090.0,2200.0,20000000.0,4,2,3,Manikonda,17.25756,78.85695,Luxury
32,Independent House/Villa,Hyderabad,1,4.0,2,4,1,2,129629.0,1215.0,17500000.0,2,2,4,Manikonda,17.44007494380667,78.64775831900772,Semi-luxury
33,Residential Apartment,Hyderabad,1,2.0,2,3,5,15,6800.0,1440.0,979200000.0,1,8,2,Manikonda,17.361288,78.606466,Luxury
34,Independent House/Villa,Hyderabad,1,4.0,0,3,5,1,7656.0,4310.0,33000000.0,3,1,4,Manikonda,17.563203,78.401403,Luxury
35,Residential Apartment,Hyderabad,1,2.0,2,3,6,5,6034.0,1160.0,7000000.0,2,3,2,Manikonda,78.48667,17.38504,Luxury
36,Independent/Builder Floor,Hyderabad,1,3.0,2,3,2,4,2781.0,1880.0,49500000.0,2,0,3,Manikonda,17.368876,78.55348,Semi-luxury
37,Independent House/Villa,Secunderabad,1,3.0,0,0,3,2,75418.0,1611.0,13500000.0,1,2,3,Manikonda,17.396115,78.357941,Semi-luxury
38,Residential Apartment,Hyderabad,1,3.0,0,3,5,13,6352.0,1039.0,6700000.0,1,4,3,Manikonda,17.485206408706663,78.60681438946276,Luxury
39,Residential Apartment,Hyderabad,1,3.0,4,0,3,30,9368.0,1923.0,17800000.0,1,7,3,Manikonda,17.4062722,78.436657,Luxury
40,Residential Apartment,Hyderabad,1,3.0,4,5,3,5,9726.0,1645.0,16000000.0,2,3,3,Manikonda,17.138823,78.474569,Luxury
41,Independent House/Villa,Hyderabad,1,2.0,2,0,5,2,93750.0,1440.0,15000000.0,1,2,2,Manikonda,17.4011618,78.37569,Semi-luxury
42,Residential Apartment,Hyderabad,1,3.0,1,3,6,5,7812.0,1600.0,12500000.0,2,1,3,Manikonda,17.478768,78.575103,Luxury
43,Independent House/Villa,Hyderabad,1,3.0,2,3,5,3,6481.0,2700.0,17500000.0,1,3,3,Manikonda,17.27395,78.59163,Luxury
44,Independent House/Villa,Hyderabad,1,4.0,2,3,5,2,7045.0,1350.0,15500000.0,1,2,4,Manikonda,16.985875,78.499864,Luxury
45,Residential Apartment,Hyderabad,1,3.0,4,3,1,35,10536.0,1993.0,21000000.0,1,9,3,Manikonda,17.31144,78.53485,Luxury
46,Farm House,Hyderabad,1,4.0,1,3,1,2,3739.0,9360.0,40000000.0,2,2,4,Manikonda,17.49182,78.32617,Luxury
47,Residential Apartment,Hyderabad,1,3.0,1,3,3,4,7692.0,1248.0,9600000.0,2,4,3,Manikonda,17.501856,78.624757,Luxury
48,Independent House/Villa,Hyderabad,1,4.0,2,4,1,3,26123.0,2871.0,63000000.0,3,3,4,Manikonda,17.338049,78.612393,Luxury
50,Independent House/Villa,Hyderabad,1,2.0,2,0,3,2,202312.0,3114.0,70000000.0,2,2,2,Manikonda,17.448427,78.687648,Budget
51,Independent House/Villa,Secunderabad,1,3.0,2,5,3,1,117269.0,11205.0,139000000.0,4,1,3,Manikonda,17.459103,78.541334,Luxury
52,Residential Apartment,Hyderabad,1,3.0,4,4,6,5,8196.0,1525.0,12500000.0,2,2,3,Manikonda,17.448846,78.38744,Luxury
53,Residential Apartment,Hyderabad,1,3.0,2,4,6,11,10500.0,2249.0,23500000.0,2,9,3,Manikonda,17.19515,78.65624,Luxury
54,Independent House/Villa,Hyderabad,1,4.0,2,4,5,3,13513.0,4255.0,57500000.0,3,3,4,Manikonda,17.5468498,78.3650231,Luxury
55,Independent House/Villa,Hyderabad,1,4.0,4,3,3,2,344036.0,3924.0,150000000.0,1,2,4,Manikonda,17.43125,78.53602,Budget
56,Residential Apartment,Hyderabad,1,3.0,0,4,3,5,5504.0,1526.0,8400000.0,3,0,3,Manikonda,17.40223,78.3444,Luxury
58,Residential Apartment,Secunderabad,1,4.0,4,0,2,2,7500.0,2564.0,18000000.0,3,1,4,Manikonda,17.443354,78.182044,Luxury
59,Independent House/Villa,Hyderabad,1,4.0,1,3,1,2,9130.0,1620.0,21000000.0,1,2,4,Manikonda,17.44007494380667,78.64775831900772,Luxury
60,Residential Apartment,Secunderabad,1,3.0,2,3,5,5,5882.0,1530.0,9500000.0,2,3,3,Manikonda,17.534325,78.331096,Luxury
61,Residential Apartment,Hyderabad,1,3.0,1,3,1,5,7712.0,1945.0,15000000.0,2,3,3,Manikonda,17.245672081157764,78.37147863892494,Luxury
62,Residential Apartment,Secunderabad,1,3.0,4,0,3,5,4193.0,1550.0,6500000.0,2,3,3,Manikonda,17.453725,78.290418,Budget
63,Residential Apartment,Hyderabad,1,3.0,4,4,2,18,11500.0,2705.0,31100000.0,1,13,3,Manikonda,17.533096,78.477854,Luxury
64,Independent House/Villa,Secunderabad,1,4.0,4,0,2,2,6000.0,3000.0,17000000.0,2,2,4,Manikonda,17.484046,78.358808,Luxury
65,Independent House/Villa,Hyderabad,1,3.0,2,4,6,2,126666.0,2700.0,38000000.0,3,2,3,Manikonda,17.4664197,78.285342,Luxury
66,Residential Apartment,Hyderabad,1,3.0,0,4,6,6,6348.0,1520.0,96500000.0,2,5,3,Manikonda,17.233562897673416,78.54189608906688,Luxury
67,Residential Apartment,Secunderabad,1,3.0,2,3,6,9,8186.0,1820.0,14900000.0,1,3,3,Manikonda,17.518915,78.301535,Luxury
68,Residential Apartment,Secunderabad,1,2.0,4,3,2,5,5288.0,1040.0,4800000.0,1,1,2,Manikonda,17.399482,78.34253,Luxury
69,Residential Apartment,Hyderabad,1,3.0,4,4,2,14,9000.0,1920.0,16500000.0,2,12,3,Manikonda,17.450024,78.361293,Budget
70,Independent House/Villa,Hyderabad,1,5.0,2,5,3,2,8632.0,1506.0,12500000.0,2,2,5,Manikonda,17.327119,78.589535,Semi-luxury
71,Residential Apartment,Hyderabad,1,3.0,1,4,1,12,10202.0,1725.0,17600000.0,1,0,3,Manikonda,17.25839,78.68112,Luxury
72,Residential Apartment,Hyderabad,0,1.0,2,4,1,5,18.0,800.0,14500.0,1,3,1,Manikonda,17.382054,78.488296,Budget
73,Residential Apartment,Hyderabad,1,3.0,1,0,3,4,11363.0,1500.0,12500000.0,1,0,3,Manikonda,17.4268897,78.4048405,Budget
74,Residential Apartment,Hyderabad,0,3.0,4,5,1,20,24.0,1663.0,40000.0,1,1,3,Manikonda,17.505811,78.539781,Luxury
75,Residential Apartment,Hyderabad,1,2.0,4,3,2,5,6016.0,1230.0,7400000.0,2,4,2,Manikonda,17.3915153,78.4972145,Luxury
76,Independent House/Villa,Hyderabad,1,2.0,4,2,3,2,100719.0,1251.0,14000000.0,2,2,2,Manikonda,17.435166,78.374179,Semi-luxury
77,Residential Apartment,Hyderabad,1,2.0,2,3,5,5,6200.0,1145.0,7100000.0,2,3,2,Manikonda,17.437953,78.283138,Luxury
79,Residential Apartment,Hyderabad,1,2.0,1,1,3,3,5647.0,850.0,4800000.0,1,1,2,Manikonda,17.40665,78.396824,Budget
80,Independent House/Villa,Hyderabad,1,12.0,2,2,2,3,25000.0,2000.0,50000000.0,3,3,12,Manikonda,17.39291,78.33501,Luxury
81,Residential Apartment,Hyderabad,1,2.0,4,3,6,8,7172.0,1185.0,8500000.0,1,4,2,Manikonda,17.542319,78.226934,Luxury
82,Residential Apartment,Hyderabad,1,2.0,4,5,3,4,12666.0,750.0,9500000.0,2,2,2,Manikonda,17.478433,78.392116,Luxury
84,Residential Apartment,Secunderabad,1,2.0,2,3,3,4,4225.0,1420.0,6000000.0,3,3,2,Manikonda,17.584501,78.478388,Semi-luxury
85,Residential Apartment,Hyderabad,1,3.0,4,3,2,15,8403.0,1800.0,13000000.0,2,3,3,Manikonda,17.250826,78.897132,Luxury
86,Residential Apartment,Hyderabad,1,3.0,0,3,5,5,6500.0,1815.0,11800000.0,2,3,3,Manikonda,17.5090182,78.3001801,Luxury
87,Independent House/Villa,Hyderabad,1,3.0,2,7,3,1,80000.0,375.0,30000000.0,0,1,3,Manikonda,17.524728,78.640282,Budget
88,Residential Apartment,Hyderabad,1,2.0,1,3,3,4,4900.0,1000.0,4900000.0,2,2,2,Manikonda,17.45227,78.299843,Luxury
90,Residential Apartment,Hyderabad,1,2.0,4,8,2,5,6372.0,1020.0,7000000.0,2,1,2,Manikonda,17.3566145,78.5105746,Luxury
91,Independent House/Villa,Hyderabad,1,6.0,4,3,2,3,5476.0,4200.0,25000000.0,2,3,6,Manikonda,17.4985957,78.5731826,Semi-luxury
92,Independent House/Villa,Hyderabad,1,1.0,0,0,2,1,75000.0,540.0,4500000.0,1,1,1,Manikonda,17.4556528,78.3667777,Budget
93,Residential Apartment,Secunderabad,1,2.0,2,0,3,4,4639.0,819.0,3800000.0,1,1,2,Manikonda,17.40223,78.3444,Semi-luxury
94,Residential Apartment,Secunderabad,1,3.0,2,3,6,15,6360.0,1525.0,9700000.0,1,7,3,Manikonda,17.40777,78.6025,Luxury
95,Residential Apartment,Hyderabad,1,2.0,2,3,5,5,3000.0,1050.0,31500000.0,2,2,2,Manikonda,17.519349,78.399539,Luxury
96,Residential Apartment,Hyderabad,1,3.0,0,4,5,14,6200.0,1754.0,10900000.0,2,13,3,Manikonda,17.4944038,78.5933196,Luxury
97,Residential Apartment,Hyderabad,1,3.0,4,3,2,5,9625.0,1818.0,17500000.0,3,3,3,Manikonda,17.444521,78.442744,Luxury
98,Residential Apartment,Hyderabad,1,2.0,2,0,2,5,8629.0,927.0,8000000.0,2,5,2,Manikonda,17.465823,78.407845,Budget
99,Residential Apartment,Hyderabad,1,3.0,2,3,6,15,9450.0,2385.0,22500000.0,4,8,3,Manikonda,17.4875547,78.5573109,Luxury
100,Residential Apartment,Hyderabad,1,2.0,2,0,5,10,7080.0,918.0,6500000.0,1,5,2,Manikonda,0.0,0.0,Luxury
101,Residential Apartment,Hyderabad,1,3.0,4,1,1,31,11000.0,1695.0,18600000.0,1,0,3,Manikonda,17.360594,78.377846,Luxury
102,Independent House/Villa,Secunderabad,1,4.0,2,0,5,3,132978.0,1692.0,23800000.0,2,3,4,Manikonda,17.56664,78.485091,Luxury
103,Farm House,Hyderabad,1,2.0,1,0,6,1,13223.0,5445.0,8000000.0,2,1,2,Manikonda,17.4478104,78.5263305,Luxury
105,Independent House/Villa,Hyderabad,1,3.0,1,4,1,2,11627.0,1800.0,25000000.0,1,2,3,Manikonda,17.2494091,78.4183466,Luxury
106,Independent House/Villa,Secunderabad,1,9.0,0,1,1,5,5400.0,11000.0,59500000.0,1,5,9,Manikonda,17.5564,78.36389,Semi-luxury
107,Residential Apartment,Hyderabad,1,4.0,4,0,3,4,4062.0,1600.0,6500000.0,3,4,4,Manikonda,78.48667,17.38504,Luxury
108,Residential Apartment,Hyderabad,1,2.0,2,3,5,5,4500.0,1225.0,5800000.0,1,1,2,Manikonda,17.71607,78.52229,Luxury
109,Residential Apartment,Hyderabad,1,3.0,4,4,3,5,7000.0,1320.0,92400000.0,1,3,3,Manikonda,17.455021,78.302556,Luxury
111,Residential Apartment,Hyderabad,1,3.0,0,4,5,33,6840.0,1353.0,925500000.0,1,17,3,Manikonda,17.496027,78.545371,Semi-luxury
112,Residential Apartment,Secunderabad,1,3.0,2,3,6,5,4916.0,1790.0,8800000.0,3,3,3,Manikonda,78.48667,17.38504,Luxury
116,Residential Apartment,Hyderabad,1,3.0,4,3,1,5,6250.0,1680.0,10500000.0,1,5,3,Manikonda,17.49479,78.39964,Luxury
118,Residential Apartment,Hyderabad,1,3.0,0,3,1,12,9030.0,1495.0,13500000.0,1,9,3,Manikonda,17.450947,78.281192,Luxury
119,Residential Apartment,Hyderabad,1,3.0,2,3,5,4,6003.0,1725.0,10200000.0,2,1,3,Manikonda,17.228693,78.577689,Luxury
120,Residential Apartment,Hyderabad,1,3.0,2,3,5,35,7700.0,1905.0,16200000.000000002,2,35,3,Manikonda,17.280656,78.635099,Luxury
121,Residential Apartment,Hyderabad,1,3.0,4,3,3,10,7427.0,1683.0,12200000.0,2,1,3,Manikonda,17.453653,78.302787,Luxury
122,Residential Apartment,Hyderabad,1,2.0,2,3,5,5,10714.0,840.0,9000000.0,1,5,2,Manikonda,17.180389,78.486736,Luxury
123,Independent House/Villa,Secunderabad,1,4.0,4,3,5,2,11578.0,3800.0,44000000.0,2,2,4,Manikonda,17.5362492,78.2396486,Luxury
124,Residential Apartment,Hyderabad,1,3.0,2,3,5,17,6100.0,1725.0,10500000.0,2,4,3,Manikonda,17.47308,78.79704,Luxury
125,Residential Apartment,Secunderabad,1,3.0,2,4,6,9,10824.0,2230.0,19700000.0,1,6,3,Manikonda,17.492624,78.5435,Luxury
126,Independent House/Villa,Hyderabad,1,3.0,1,4,1,2,14741.0,1650.0,18500000.0,2,2,3,Manikonda,17.509668,78.196121,Luxury
127,Independent House/Villa,Secunderabad,1,3.0,4,3,3,1,46961.0,3258.0,18000000.0,1,1,3,Manikonda,17.42169,78.21842,Luxury
128,Residential Apartment,Hyderabad,1,1.0,2,5,1,5,4400.0,625.0,27500000.0,1,3,1,Manikonda,17.6197,78.082693,Luxury
129,Residential Apartment,Hyderabad,1,3.0,2,4,6,5,5454.0,1375.0,749500000.0,2,2,3,Manikonda,17.3417656,78.5305907,Luxury
130,Independent House/Villa,Hyderabad,1,2.0,2,3,5,1,4683.0,1815.0,7800000.0,2,1,2,Manikonda,17.16671518425292,78.29562544721442,Luxury
131,Independent House/Villa,Hyderabad,1,6.0,1,4,2,4,4218.0,6400.0,27000000.0,4,4,6,Manikonda,17.461703,78.436274,Luxury
132,Independent House/Villa,Hyderabad,1,4.0,2,4,6,2,92500.0,200.0,18500000.0,2,2,4,Manikonda,17.5789054,78.4268758,Luxury
133,Residential Apartment,Secunderabad,1,3.0,1,3,1,10,6071.0,1894.0,11500000.0,4,5,3,Manikonda,17.96039,78.48343,Luxury
134,Independent House/Villa,Hyderabad,1,5.0,2,3,6,3,8476.0,1800.0,32000000.0,1,3,5,Manikonda,17.468576,78.281361,Luxury
136,Residential Apartment,Secunderabad,1,3.0,2,0,6,14,7213.0,1525.0,11000000.0,1,7,3,Manikonda,17.38504,78.48667,Luxury
137,Residential Apartment,Secunderabad,1,3.0,1,5,3,4,2833.0,1200.0,3400000.0,1,0,3,Manikonda,17.6577589,78.5967949,Budget
138,Residential Apartment,Hyderabad,1,3.0,1,3,1,22,10555.0,2100.0,19000000.0,2,8,3,Manikonda,17.5362492,78.2396486,Luxury
139,Independent House/Villa,Hyderabad,1,6.0,2,6,6,3,4179.0,3350.0,14000000.0,2,3,6,Manikonda,17.48095,78.57034,Semi-luxury
140,Residential Apartment,Hyderabad,1,3.0,2,3,5,5,5500.0,1580.0,86900000.0,3,5,3,Manikonda,17.4985957,78.5731826,Luxury
141,Residential Apartment,Hyderabad,1,2.0,1,4,1,31,12557.0,1314.0,15500000.0,1,21,2,Manikonda,17.6197,78.082693,Luxury
142,Residential Apartment,Hyderabad,1,3.0,1,4,1,5,8956.0,1686.0,15100000.0,2,3,3,Manikonda,16.5609,77.85031,Luxury
143,Independent House/Villa,Hyderabad,2,2.0,4,1,2,1,75878.0,1126.0,8500000.0,1,1,2,Manikonda,17.5468498,78.3650231,Luxury
144,Residential Apartment,Hyderabad,1,2.0,4,5,2,4,3965.0,1160.0,4600000.0,2,4,2,Manikonda,17.366353,78.58283,Luxury
145,Residential Apartment,Hyderabad,1,2.0,2,0,1,5,4770.0,1090.0,5200000.0,1,5,2,Manikonda,17.428952,78.197469,Luxury
146,Independent/Builder Floor,Hyderabad,1,2.0,2,4,3,2,3611.0,1800.0,6500000.0,2,0,2,Manikonda,17.5587337,78.2674059,Semi-luxury
147,Independent House/Villa,Secunderabad,1,4.0,4,4,3,2,68181.0,1980.0,15000000.0,1,2,4,Manikonda,17.4570123,78.3645684,Luxury
148,Residential Apartment,Hyderabad,1,3.0,2,0,5,20,5303.0,1367.0,72500000.0,2,7,3,Manikonda,17.420439,78.361183,Luxury
149,Residential Apartment,Hyderabad,1,3.0,2,4,6,30,9109.0,1965.0,17900000.0,2,23,3,Manikonda,17.49948,78.56325,Luxury
150,Residential Apartment,Hyderabad,1,2.0,2,3,6,24,12015.0,1290.0,15500000.0,1,14,2,Manikonda,17.446213,78.393682,Luxury
151,Residential Apartment,Hyderabad,1,2.0,4,0,1,6,9705.0,1121.0,10200000.0,2,3,2,Manikonda,0.0,0.0,Luxury
153,Residential Apartment,Hyderabad,1,4.0,2,4,5,15,4700.0,2715.0,12500000.0,2,4,4,Manikonda,17.135408,78.427138,Luxury
154,Residential Apartment,Hyderabad,1,4.0,4,4,3,5,9756.0,4100.0,40000000.0,0,5,4,Manikonda,17.42169,78.21842,Luxury
155,Residential Apartment,Hyderabad,1,2.0,2,0,5,5,4463.0,1053.0,4700000.0,2,2,2,Manikonda,17.516921331619965,77.89804423183968,Luxury
156,Residential Apartment,Hyderabad,1,3.0,2,0,5,5,4466.0,1500.0,6700000.0,3,1,3,Manikonda,17.47234,78.419588,Luxury
157,Residential Apartment,Hyderabad,1,2.0,2,4,5,14,4750.0,1200.0,5900000.0,2,8,2,Manikonda,78.48667,17.38504,Luxury
158,Residential Apartment,Hyderabad,1,3.0,4,3,2,5,6518.0,1350.0,8800000.0,1,3,3,Manikonda,17.441696,78.508641,Luxury
159,Residential Apartment,Hyderabad,1,2.0,1,1,1,4,4644.0,1335.0,6200000.0,2,3,2,Manikonda,17.3887844,78.348562,Budget
160,Residential Apartment,Hyderabad,1,3.0,2,3,6,35,9517.0,2259.0,21500000.0,3,31,3,Manikonda,17.47078,78.30668,Luxury
161,Residential Apartment,Hyderabad,1,2.0,1,3,6,5,6167.0,1135.0,7000000.0,1,2,2,Manikonda,17.372921,78.517049,Luxury
162,Residential Apartment,Hyderabad,1,2.0,4,4,1,5,7190.0,1210.0,8700000.0,1,4,2,Manikonda,17.51069,78.547467,Luxury
163,Independent House/Villa,Hyderabad,1,2.0,2,1,2,1,61333.0,1350.0,9200000.0,1,1,2,Manikonda,17.536121,78.289779,Luxury
164,Residential Apartment,Hyderabad,1,2.0,4,0,3,5,6578.0,1140.0,7500000.0,1,2,2,Manikonda,17.5090182,78.3001801,Budget
165,Residential Apartment,Hyderabad,2,3.0,1,3,2,6,7187.0,1600.0,11500000.0,1,2,3,Manikonda,17.20869,78.47603,Luxury
166,Independent House/Villa,Secunderabad,1,2.0,2,1,3,1,39024.0,2767.0,12000000.0,4,1,2,Manikonda,17.063734,78.488644,Luxury
167,Residential Apartment,Hyderabad,1,3.0,4,3,1,5,7936.0,1575.0,12500000.0,2,3,3,Manikonda,17.5213398,78.3949566,Luxury
168,Residential Apartment,Hyderabad,1,4.0,2,6,5,7,4655.0,1901.0,88500000.0,2,2,4,Manikonda,17.4164707,78.4382469,Luxury
169,Residential Apartment,Secunderabad,1,2.0,1,3,6,5,7007.0,842.0,5900000.0,2,2,2,Manikonda,17.620662,77.953509,Luxury
171,Independent House/Villa,Hyderabad,1,6.0,0,0,2,2,88785.0,963.0,9700000.0,2,2,6,Manikonda,17.524382,78.427235,Budget
172,Residential Apartment,Hyderabad,1,3.0,2,4,3,5,6000.0,1600.0,9000000.0,2,3,3,Manikonda,17.407552,78.337696,Luxury
173,Residential Apartment,Hyderabad,1,3.0,0,3,3,3,3851.0,1350.0,5200000.0,2,1,3,Manikonda,17.450436,78.424385,Luxury
174,Residential Apartment,Hyderabad,1,2.0,4,4,3,5,6589.0,1032.0,7000000.0,2,1,2,Manikonda,17.4066129,78.3941767,Luxury
175,Residential Apartment,Secunderabad,1,2.0,1,1,6,5,6667.0,1140.0,7600000.0,2,2,2,Manikonda,17.4769491,78.5598292,Luxury
176,Residential Apartment,Hyderabad,1,3.0,2,3,5,45,10666.0,3330.0,24000000.0,1,37,3,Manikonda,17.3923634,78.3621784,Luxury
177,Serviced Apartments,Secunderabad,1,2.0,4,4,6,15,10866.0,1350.0,8900000.0,2,4,2,Manikonda,17.6197,78.082693,Luxury
179,Residential Apartment,Hyderabad,1,3.0,2,3,5,5,6000.0,2200.0,13200000.0,3,2,3,Manikonda,17.07139,78.205312,Luxury
180,Residential Apartment,Hyderabad,1,3.0,4,3,6,5,7300.0,1513.0,12300000.0,2,5,3,Manikonda,17.50107,78.59508,Luxury
183,Residential Apartment,Hyderabad,1,3.0,2,4,6,22,8334.0,2100.0,17500000.0,2,16,3,Manikonda,17.4011618,78.37569,Semi-luxury
184,Residential Apartment,Secunderabad,1,2.0,2,5,5,4,6048.0,1240.0,7500000.0,2,1,2,Manikonda,17.3697735,78.5618265,Semi-luxury
186,Residential Apartment,Secunderabad,1,3.0,2,4,5,5,7000.0,1593.0,12500000.0,2,1,3,Manikonda,17.492871,78.239079,Luxury
188,Residential Apartment,Secunderabad,1,3.0,2,3,5,5,5500.0,1960.0,907500000.0,1,5,3,Manikonda,17.233562897673416,78.54189608906688,Luxury
189,Residential Apartment,Hyderabad,1,2.0,4,5,3,3,4511.0,870.0,392500000.0,2,0,2,Manikonda,17.4664197,78.285342,Luxury
190,Independent House/Villa,Hyderabad,1,4.0,2,3,6,2,6346.0,2600.0,16500000.0,2,2,4,Manikonda,17.626354,78.400816,Semi-luxury
191,Residential Apartment,Hyderabad,1,2.0,4,3,3,4,5184.0,1103.0,5200000.0,2,3,2,Manikonda,17.591122,78.569709,Luxury
192,Residential Apartment,Hyderabad,1,2.0,1,4,1,27,10164.0,1279.0,13000000.0,2,14,2,Manikonda,17.4664197,78.285342,Luxury
193,Independent House/Villa,Hyderabad,0,4.0,1,4,6,3,20.0,3650.0,75000.0,3,3,4,Manikonda,17.620662,77.953509,Luxury
194,Residential Apartment,Hyderabad,1,2.0,1,4,2,5,7777.0,1150.0,7000000.0,2,5,2,Manikonda,17.40223,78.3444,Luxury
195,Independent House/Villa,Hyderabad,1,4.0,4,1,6,2,89506.0,1458.0,13500000.0,2,2,4,Manikonda,17.411744,78.341175,Budget
196,Residential Apartment,Hyderabad,1,2.0,2,4,6,5,5420.0,1107.0,6000000.0,1,4,2,Manikonda,17.529701,78.333031,Luxury
197,Residential Apartment,Secunderabad,3,3.0,2,3,6,15,6824.0,1685.0,11500000.0,1,5,3,Manikonda,17.5316,78.26729,Luxury
198,Residential Apartment,Hyderabad,1,3.0,4,3,3,7,3514.0,1360.0,479500000.0,1,2,3,Manikonda,17.4011618,78.37569,Luxury
201,Independent House/Villa,Hyderabad,1,3.0,4,0,2,2,9090.0,1540.0,14000000.0,2,2,3,Manikonda,17.443354,78.182044,Budget
203,Residential Apartment,Hyderabad,1,3.0,2,1,5,5,12380.0,1050.0,13000000.0,1,4,3,Manikonda,17.38504,78.48667,Luxury
204,Residential Apartment,Hyderabad,1,3.0,2,3,6,5,7761.0,1675.0,13000000.0,2,5,3,Manikonda,17.6415169517376,77.8465246295364,Luxury
205,Residential Apartment,Secunderabad,1,3.0,4,6,3,9,7377.0,1830.0,13500000.0,2,9,3,Manikonda,17.499527,78.4767399,Luxury
206,Residential Apartment,Hyderabad,1,2.0,0,0,1,6,8623.0,1090.0,9400000.0,1,3,2,Manikonda,17.48718,78.5786,Luxury
207,Residential Apartment,Hyderabad,1,2.0,2,3,5,5,5700.0,1000.0,6500000.0,1,5,2,Manikonda,17.527169,78.536787,Luxury
208,Independent House/Villa,Hyderabad,1,3.0,4,0,3,1,5745.0,2106.0,12100000.0,1,1,3,Manikonda,17.441208,78.650905,Luxury
209,Independent House/Villa,Secunderabad,1,2.0,0,2,3,1,13888.0,1800.0,25000000.0,1,1,2,Manikonda,17.4626216,78.6313624,Luxury
