,PROPERTY_TYPE,CITY,LOCALITY,OWNTYPE,BEDROOM_NUM,BALCONY_NUM,FURNISH,FACING,AGE,FLOOR_NUM,TOTAL_FLOOR,PRICE_SQFT,CARPET_SQFT,SUPERBUILTUP_SQFT,AREA,PRICE,BHK,LATITUDE,LONGITUDE,LUXURY
0,Residential Apartment,Gurgaon,Sector 84,1,4.0,4.0,4,1,2,14,26.0,8766.0,3000.0,3434.0,3434,26300000.0,4.0,28.4065341,76.9627918,Semi-luxury
1,Residential Apartment,Gurgaon,Sector 81,1,4.0,3.0,4,1,1,7,29.0,21176.0,1700.0,2870.0,2870,36000000.0,4.0,28.3889069,76.9513279,Semi-luxury
2,Residential Apartment,Gurgaon,Sector 66,0,3.0,2.0,1,4,1,7,17.0,43.0,1450.0,1950.0,1950,85000.0,3.0,28.401406,77.050549,Semi-luxury
3,Residential Apartment,Gurgaon,Sector 112,1,3.0,3.0,4,0,1,14,28.0,13740.0,,2802.0,2802,38500000.0,3.0,28.518677,77.015115,Semi-luxury
4,Residential Apartment,Gurgaon,Sector 104,0,3.0,4.0,4,6,1,12,27.0,17.0,,2290.0,2290,40000.0,4.0,28.47844,76.98611,Semi-luxury
5,Residential Apartment,Gurgaon,Sector 104,1,3.0,4.0,4,2,1,4,27.0,8515.0,,2290.0,2290,19500000.0,3.0,28.47844,76.98611,Semi-luxury
6,Residential Apartment,Gurgaon,Sector 104,0,4.0,4.0,4,8,1,7,27.0,14.0,,3150.0,3150,45000.0,4.0,28.47844,76.98611,Semi-luxury
7,Residential Apartment,Gurgaon,Sector 74,1,2.0,3.0,2,3,6,12,30.0,11571.0,,1400.0,1400,16200000.000000002,2.0,28.4164,77.01262,Semi-luxury
8,Residential Land,Gurgaon,Sector 108,1,,,0,0,0,,3.0,119889.0,,,1629,21700000.0,,28.510599,76.98856,Semi-luxury
9,Independent/Builder Floor,Gurgaon,Sector 102,1,3.0,3.0,4,6,1,G,3.0,72607.0,,2727.000000000273,2727,22000000.0,3.0,28.474861,76.976292,Luxury
10,Residential Land,Gurgaon,Sector 99,1,,,0,4,0,,2.0,160000.0,,,2340,41600000.0,,28.463121,76.962544,Semi-luxury
11,Residential Apartment,Gurgaon,Sector 60,1,4.0,4.0,4,5,1,39,39.0,15463.0,3080.0,4850.0,4850,75000000.0,4.0,28.39988,77.09654,Semi-luxury
12,Residential Apartment,Gurgaon,Sector 74,1,2.0,3.0,2,3,6,16,30.0,11428.0,,1400.0,1400,16000000.0,2.0,28.4164,77.01262,Semi-luxury
13,Residential Apartment,Gurgaon,Sector 66,0,3.0,2.0,4,4,1,G,17.0,35.0,1450.0,1950.0,1950,70000.0,3.0,28.401406,77.050549,Semi-luxury
14,Residential Apartment,Gurgaon,Sector 66,1,3.0,2.0,4,4,1,4,17.0,23648.0,1480.0,1950.0,1950,35000000.0,3.0,28.401406,77.050549,Semi-luxury
15,Residential Land,Gurgaon,Sector 108,1,,,0,0,0,,3.0,120000.0,,,1935,25800000.0,,28.510599,76.98856,Semi-luxury
16,Residential Apartment,Gurgaon,Sector 110,1,5.0,4.0,4,0,1,14,21.0,11597.0,,3880.0,3880,45000000.0,4.0,28.501365,77.010746,Semi-luxury
17,Residential Apartment,Gurgaon,Sector 109,1,3.0,3.0,4,0,1,1,20.0,7159.0,,2165.0,2165,15500000.0,3.0,28.51337,77.007362,Semi-luxury
18,Residential Apartment,Gurgaon,Sector 102,1,3.0,3.0,0,0,1,10,14.0,9382.0,,2025.0,2025,19000000.0,3.0,28.479934,76.969137,Semi-luxury
19,Residential Apartment,Gurgaon,Sector 102,1,3.0,3.0,4,0,1,2,14.0,9500.0,,2000.0,2000,19000000.0,3.0,28.479934,76.969137,Semi-luxury
20,Residential Apartment,Gurgaon,Sector 65,1,3.0,4.0,4,5,1,33,42.0,20370.0,1212.0,2430.0,2430,49500000.0,3.0,28.3998268,77.0610017,Semi-luxury
21,Residential Apartment,Gurgaon,Sector 102,1,2.0,3.0,4,3,1,8,14.0,10699.0,,1215.0,1215,13000000.0,2.0,28.479276836122,76.976094508889,Semi-luxury
22,Independent/Builder Floor,Gurgaon,Sector 37D,1,3.0,2.0,4,4,5,2,4.0,12105.0,950.0,1250.0,1250,11500000.0,,28.440761,76.972101,Luxury
23,Residential Apartment,Gurgaon,Sector 113,1,3.0,3.0,4,0,5,12,36.0,12612.0,1150.0,1665.0,1665,21000000.0,3.0,28.522621253811,77.025486549749,Semi-luxury
24,Residential Apartment,Gurgaon,Sector 66,1,4.0,2.0,4,1,1,5,17.0,17517.0,2200.0,3625.0,3625,63500000.0,4.0,28.4015851,77.0497516,Semi-luxury
25,Residential Apartment,Gurgaon,Sector 111,1,3.0,2.0,1,3,6,7,21.0,16000.0,2200.0,,2200,35600000.0,3.0,28.519268,77.027259,Semi-luxury
26,Residential Apartment,Gurgaon,Sector 111,1,3.0,2.0,1,3,6,2,21.0,13000.0,,,1700,22500000.0,3.0,28.519268,77.027259,Semi-luxury
27,Residential Apartment,Gurgaon,Sector 65,1,3.0,2.0,4,5,1,9,40.0,18138.0,2010.0,3363.0,3363,61000000.0,3.0,28.401137,77.064929,Semi-luxury
28,Residential Apartment,Gurgaon,Sector 61,0,4.0,4.0,4,1,1,6,14.0,31.0,,2690.0,2690,85000.0,4.0,28.41474,77.09192,Semi-luxury
29,Independent/Builder Floor,Gurgaon,Block B Sushant Lok Phase - 3,1,3.0,2.0,0,3,6,4,4.0,93023.0,,1935.0000000001933,1935,20000000.0,3.0,28.42093,77.08117,Luxury
30,Residential Apartment,Gurgaon,Sector 62,1,3.0,3.0,4,4,6,10,32.0,16550.0,1296.93,2567.89,2567,42500000.0,3.0,28.40356,77.085012,Semi-luxury
31,Residential Apartment,Gurgaon,Sector 60,1,3.0,2.0,4,6,1,5,12.0,15158.0,1289.0,2045.0,2045,31000000.0,3.0,28.39988,77.09654,Semi-luxury
32,Independent House/Villa,Gurgaon,Sector 37D,1,3.0,3.0,4,5,5,,4.0,9771.0,1020.0,,1535,15000000.0,2.0,28.439540901931,76.969755011392,Luxury
33,Independent House/Villa,Gurgaon,South City 1,1,4.0,2.0,4,3,6,,1.0,36000.0,,,5000,180000000.0,4.0,28.460089,77.066245,Luxury
34,Residential Apartment,Gurgaon,Sector 60,1,2.0,2.0,4,3,1,2,12.0,16117.0,,1365.0,1365,22000000.0,2.0,28.39988,77.09654,Semi-luxury
35,Residential Apartment,Gurgaon,Sector 60,0,3.0,2.0,4,3,1,5,9.0,29.0,,2403.0,2403,72000.0,3.0,28.39988,77.09654,Semi-luxury
36,Residential Apartment,Gurgaon,Sector 113,0,2.0,3.0,1,5,6,8,13.0,33.0,950.0,1330.0,1330,43500.0,2.0,28.532594,77.020297,Semi-luxury
37,Independent House/Villa,Gurgaon,Sector 113,1,3.0,3.0,1,3,5,,15.0,10500.0,,,1579,16600000.0,,28.532594,77.020297,Luxury
38,Independent/Builder Floor,Gurgaon,Sector 57,1,4.0,2.0,4,1,6,2,4.0,71637.0,,3078.000000000308,3078,24500000.0,4.0,28.4234414,77.0765927,Luxury
39,Independent/Builder Floor,Gurgaon,Sector 57,1,4.0,2.0,4,1,6,1,4.0,73099.0,,3078.000000000308,3078,25000000.0,4.0,28.4234414,77.0765927,Luxury
40,Independent/Builder Floor,Gurgaon,Sector 57,1,4.0,2.0,4,5,6,1,4.0,91254.0,,2367.0000000002365,2367,24000000.0,4.0,28.4234414,77.0765927,Luxury
41,Independent/Builder Floor,Gurgaon,Sector 57,1,3.0,2.0,4,5,6,4,4.0,92391.0,,1656.0000000001655,1656,17000000.0,3.0,28.4234414,77.0765927,Luxury
42,Independent/Builder Floor,Gurgaon,Sector 57,1,3.0,2.0,4,5,6,4,4.0,95588.0,,1836.0000000001835,1836,19500000.0,3.0,28.4234414,77.0765927,Luxury
43,Independent/Builder Floor,Gurgaon,Sector 57,1,4.0,2.0,4,5,6,1,4.0,96491.0,,3078.000000000308,3078,33000000.0,,28.4234414,77.0765927,Luxury
44,Residential Apartment,Gurgaon,Sector 74,0,3.0,3.0,4,3,6,9,30.0,32.0,,2000.0,2000,65000.0,3.0,28.4164,77.01262,Semi-luxury
45,Residential Apartment,Gurgaon,Sector 59,1,3.0,3.0,4,1,1,4,11.0,14290.0,,2974.0,2974,42500000.0,,28.401575,77.10647,Semi-luxury
46,Residential Apartment,Gurgaon,Sector 62,1,4.0,3.0,4,5,2,8,25.0,14839.0,,2527.0,2527,37500000.0,,28.424718,77.038262,Semi-luxury
47,Residential Apartment,Gurgaon,Sector 37C,1,3.0,3.0,0,1,5,7,20.0,8173.0,1500.0,1790.0,1790,12300000.0,3.0,28.451194,76.989289,Semi-luxury
48,Residential Apartment,Gurgaon,Sector 62,0,4.0,2.0,4,5,1,7,34.0,58.0,,4280.0,4280,2500000.0,,28.412644,77.088217,Semi-luxury
49,Residential Apartment,Gurgaon,Sector 53,1,3.0,4.0,4,5,2,3,18.0,16753.0,,2895.0,2895,48500000.0,3.0,28.445927,77.099865,Semi-luxury
50,Residential Apartment,Gurgaon,Sector 53,1,3.0,4.0,4,5,2,4,18.0,17098.0,,2895.0,2895,49500000.0,3.0,28.445927,77.099865,Semi-luxury
51,Residential Apartment,Gurgaon,Sector 62,0,3.0,4.0,4,5,1,9,25.0,31.0,,1996.0,1996,62000.0,,28.424718,77.038262,Semi-luxury
52,Residential Apartment,Gurgaon,Sector 62,0,4.0,4.0,4,5,1,11,25.0,29.0,,2527.0,2527,75000.0,,28.424718,77.038262,Semi-luxury
53,Residential Apartment,Gurgaon,Sector 28,1,3.0,3.0,4,4,1,2,12.0,13937.0,2350.0,2583.0,2583,36000000.0,3.0,28.475639,77.0823482,Semi-luxury
54,Residential Apartment,Gurgaon,Sector 67,1,2.0,3.0,4,5,1,3,51.0,15646.0,,1470.0,1470,23000000.0,2.0,28.391640123846,77.065127854166,Semi-luxury
55,Residential Apartment,Gurgaon,Sector 54,1,3.0,3.0,1,5,1,25,30.0,23913.0,,2300.0,2300,55000000.0,3.0,28.443185,77.108897,Semi-luxury
56,Residential Apartment,Gurgaon,Sector 113,1,4.0,4.0,0,0,5,11,28.0,12500.0,2570.0,,2570,32100000.0,4.0,28.522621253811,77.025486549749,Semi-luxury
57,Residential Apartment,Gurgaon,Sector 113,1,4.0,4.0,0,0,5,11,28.0,12500.0,2510.0,,2510,31400000.0,4.0,28.522621253811,77.025486549749,Semi-luxury
58,Residential Apartment,Gurgaon,Sector 106,1,4.0,4.0,4,3,5,10,38.0,15500.0,2717.0,,2717,42100000.0,3.0,28.4934496,76.999982,Semi-luxury
59,Residential Apartment,Gurgaon,Sector 106,1,3.0,3.0,4,3,5,9,38.0,15500.0,2600.0,,2600,40300000.0,3.0,28.4934496,76.999982,Semi-luxury
60,Residential Apartment,Gurgaon,Sector 113,1,3.0,2.0,0,3,5,8,36.0,11396.0,1665.0,,1665,19000000.0,3.0,28.522621253811,77.025486549749,Semi-luxury
61,Residential Apartment,Gurgaon,Sector 108,1,4.0,3.0,0,3,5,10,24.0,10109.0,1900.0,2913.0,2913,29400000.0,4.0,28.516331087497,76.995685046165,Semi-luxury
62,Residential Apartment,Gurgaon,Sector 108,1,3.0,2.0,0,3,5,8,24.0,15499.0,1512.05,2343.0,2343,23400000.0,3.0,28.516331087497,76.995685046165,Semi-luxury
63,Residential Apartment,Gurgaon,Sector 108,1,3.0,3.0,0,3,5,10,24.0,15544.0,,1745.0,1745,27100000.0,3.0,28.516331087497,76.995685046165,Semi-luxury
64,Residential Apartment,Gurgaon,Sector 106,1,3.0,3.0,0,0,5,7,34.0,7282.0,1900.0,,1900,13799999.999999998,3.0,28.509518516781,76.988676053722,Semi-luxury
65,Residential Apartment,Gurgaon,Sector 106,1,3.0,3.0,0,0,5,7,34.0,13500.0,2050.0,,2050,27700000.0,,28.509518516781,76.988676053722,Semi-luxury
66,Residential Apartment,Gurgaon,Sector 102,1,3.0,4.0,0,1,1,14,25.0,9783.0,,1942.0,1942,19000000.0,,28.4708012,76.9717289,Semi-luxury
67,Residential Apartment,Gurgaon,Sector 60,1,2.0,3.0,4,5,1,10,39.0,14965.0,,1470.0,1470,22000000.0,2.0,28.39988,77.09654,Semi-luxury
68,Residential Apartment,Gurgaon,Sector 60,1,3.0,3.0,4,5,1,14,39.0,15121.0,,2050.0,2050,31000000.0,3.0,28.39988,77.09654,Semi-luxury
69,Residential Apartment,Gurgaon,Sector 61,1,3.0,3.0,4,5,2,18,32.0,12941.0,,1700.0,1700,22000000.0,4.0,28.41474,77.09192,Semi-luxury
70,Residential Apartment,Gurgaon,Sector 62,0,4.0,4.0,4,1,1,14,27.0,48.0,,3104.0,3104,1500000.0,,28.41201,77.09085,Semi-luxury
71,Residential Apartment,Gurgaon,Sector 62,0,4.0,4.0,4,1,1,30,34.0,32.0,4957.0,7673.0,7673,2500000.0,,28.412644,77.088217,Semi-luxury
72,Residential Apartment,Gurgaon,Sector 54,0,3.0,3.0,1,1,3,14,17.0,82.0,,2875.0,2875,23800000.0,5.0,28.44684967862,77.10207066169,Semi-luxury
73,Residential Apartment,Gurgaon,Sector 54,0,3.0,4.0,1,1,1,25,30.0,90.0,1331.0,2200.0,2200,19900000.0,3.0,28.443185,77.108897,Semi-luxury
74,Residential Apartment,Gurgaon,Sector 104,0,3.0,3.0,4,5,1,12,29.0,18.0,1600.0,2450.0,2450,45000.0,3.0,28.482289,76.991786,Semi-luxury
75,Residential Apartment,Gurgaon,Sector 54,0,3.0,4.0,1,0,1,12,30.0,76.0,,2150.0,2150,16500000.0,3.0,28.443185,77.108897,Semi-luxury
76,Residential Apartment,Gurgaon,Sector 60,0,3.0,3.0,4,5,1,G,39.0,36.0,,2045.0,2045,75000.0,3.0,28.39988,77.09654,Semi-luxury
77,Residential Apartment,Gurgaon,Sector 53,1,3.0,4.0,4,0,3,13,18.0,16580.0,,2895.0,2895,48000000.0,3.0,28.445927,77.099865,Semi-luxury
78,Residential Apartment,Gurgaon,Sector 53,0,4.0,3.0,4,1,2,5,18.0,45.0,,3390.0,3390,15500000.0,4.0,28.445927,77.099865,Semi-luxury
79,Residential Apartment,Gurgaon,Sector 54,0,3.0,4.0,4,5,1,14,30.0,65.0,,2300.0,2300,1500000.0,3.0,28.443185,77.108897,Semi-luxury
80,Residential Apartment,Gurgaon,DLF Phase 2,1,4.0,3.0,4,3,2,1,19.0,14316.0,2110.0,2305.0,2305,33000000.0,,28.4889627,77.0866646,Semi-luxury
81,Independent/Builder Floor,Gurgaon,Sector 82,1,2.0,2.0,4,3,1,G,2.0,44305.0,1620.000000000162,,1620,797500000.0,2.0,28.393967,76.959507,Luxury
82,Residential Apartment,Gurgaon,Sector 113,1,2.0,3.0,4,5,6,5,25.0,12078.0,,1573.0,1573,19000000.0,2.0,28.5345918,77.0209452,Semi-luxury
83,Residential Land,Gurgaon,Sector 108,1,,,0,5,0,,4.0,12761.0,,,4968,63400000.0,,28.510599,76.98856,Semi-luxury
84,Residential Land,Gurgaon,Block B Sushant Lok Phase - 3,1,,,0,5,0,,3.0,159482.0,,,2088,37000000.0,,28.42093,77.08117,Semi-luxury
85,Residential Apartment,Gurgaon,Sector 62,0,2.0,2.0,4,0,6,18,32.0,46.0,,1508.26,1508,70000.0,,28.4067756,77.0823482,Semi-luxury
86,Residential Apartment,Gurgaon,Sector 54,1,3.0,3.0,1,0,1,29,30.0,23913.0,2300.0,,2300,55000000.0,3.0,28.443185,77.108897,Semi-luxury
87,Independent/Builder Floor,Gurgaon,Sector 82,1,2.0,2.0,4,1,1,G,2.0,44444.0,1620.000000000162,,1620,8000000.0,2.0,28.3935416,76.9599852,Luxury
88,Independent/Builder Floor,Gurgaon,South City 2,1,4.0,3.0,4,5,6,1,4.0,11764.0,2500.0,2890.0,2890,34000000.0,4.0,28.418353,77.053084,Luxury
89,Residential Apartment,Gurgaon,DLF Phase 5,1,4.0,4.0,4,2,2,11,20.0,18669.0,2580.0,2812.0,2812,52500000.0,,28.44673,77.09355,Semi-luxury
90,Residential Apartment,Gurgaon,DLF Phase 5,1,4.0,3.0,4,1,2,7,20.0,19157.0,2360.0,2610.0,2610,50000000.0,4.0,28.44673,77.09355,Semi-luxury
91,Residential Apartment,Gurgaon,Sector 28,1,6.0,4.0,4,4,1,12,12.0,11214.0,4500.0,5350.0,5350,60000000.0,,28.475639,77.0823482,Semi-luxury
92,Independent/Builder Floor,Gurgaon,Sector 57,1,3.0,2.0,4,4,6,2,4.0,11949.0,1590.0,,1590,19000000.0,3.0,28.4234414,77.0765927,Luxury
93,Residential Apartment,Gurgaon,Sector 112,1,2.0,3.0,4,5,1,8,28.0,12290.0,,2441.0,2441,30000000.0,2.0,28.518677,77.015115,Semi-luxury
94,Independent House/Villa,Gurgaon,DLF Phase 3,1,7.0,4.0,2,5,3,,4.0,291666.0,,,1080,35000000.0,,28.4934896,77.1039288,Luxury
95,Residential Apartment,Gurgaon,Sector 62,0,2.0,2.0,4,5,6,8,32.0,41.0,900.0,1508.0,1508,62000.0,2.0,28.4046715,77.0871741,Semi-luxury
96,Residential Apartment,Gurgaon,Sector 62,0,4.0,4.0,4,5,2,16,25.0,29.0,2500.0,2527.0,2527,75000.0,4.0,28.4067756,77.0823482,Semi-luxury
97,Independent/Builder Floor,Gurgaon,DLF Phase 2,0,4.0,3.0,4,6,6,2,4.0,55.0,2700.0,,2700,1500000.0,4.0,28.4889627,77.0866646,Luxury
98,Residential Apartment,Gurgaon,DLF Phase 5,0,4.0,2.0,4,5,2,7,15.0,45.0,,,1750,80000.0,,28.447043,77.095211,Semi-luxury
99,Residential Apartment,Gurgaon,DLF Phase 5,1,3.0,0.0,0,0,2,10,15.0,15934.0,,,1412,24500000.0,,28.447043,77.095211,Semi-luxury
100,Residential Apartment,Gurgaon,DLF Phase 5,1,4.0,4.0,4,8,3,7,20.0,19540.0,,2610.0,2610,51000000.0,4.0,28.448805,77.093635,Semi-luxury
101,Independent House/Villa,Gurgaon,Sector 42,1,19.0,4.0,4,8,2,,3.0,202148.0,,,512,103500000.0,,28.4548972,77.1053673,Luxury
102,Independent/Builder Floor,Gurgaon,Sector 55,0,2.0,1.0,4,3,1,3,3.0,218.0,,1440.000000000144,1440,35000.0,,28.4595,77.02664,Luxury
103,Residential Apartment,Gurgaon,Sector 54,1,4.0,4.0,4,3,2,12,17.0,24704.0,,3886.0,3886,96000000.0,4.0,28.44684967862,77.10207066169,Semi-luxury
104,Independent/Builder Floor,Gurgaon,DLF Phase 5,0,3.0,2.0,1,1,3,G,3.0,38.0,1500.0,1925.0,1925,75000.0,,28.44673,77.09355,Luxury
105,Independent/Builder Floor,Gurgaon,DLF Phase 5,0,3.0,2.0,1,3,3,1,3.0,37.0,1550.0,1852.0,1852,70000.0,3.0,28.44673,77.09355,Luxury
106,Residential Apartment,Gurgaon,Sector 48,0,2.0,3.0,4,5,1,7,17.0,56.0,,1676.0,1676,95500.0,2.0,28.4247815,77.0325712,Semi-luxury
107,Residential Apartment,Gurgaon,Sector 48,0,1.0,0.0,1,5,1,8,17.0,71.0,,837.0,837,60000.0,1.0,28.423345,77.037523,Semi-luxury
108,Residential Land,Gurgaon,Sector-33 Sohna,1,,,0,1,0,,4.0,152000.0,,,242,36800000.0,,28.288781720029,77.067725439623,Semi-luxury
109,Residential Apartment,Gurgaon,DLF Phase 2,0,3.0,4.0,4,3,2,2,12.0,37.0,2650.0,,2650,100000.0,,28.478391,77.076817,Semi-luxury
110,Residential Apartment,Gurgaon,Sector 37D,0,3.0,4.0,4,3,1,16,22.0,16.0,,1800.0,1800,29000.0,3.0,28.4528823,76.9734103,Semi-luxury
111,Residential Apartment,Gurgaon,Sector 37D,0,3.0,4.0,1,3,6,1,22.0,21.0,,1800.0,1800,39000.0,3.0,28.4514754,76.9751443,Semi-luxury
112,Residential Apartment,Gurgaon,Sector 37D,0,3.0,2.0,4,5,1,G,13.0,16.0,,1185.0,1185,19200.0,3.0,28.447369,76.97195,Semi-luxury
113,Residential Apartment,Gurgaon,Sector 90,1,3.0,3.0,2,3,1,11,19.0,9106.0,,1702.0,1702,15500000.0,3.0,28.406885,76.930127,Semi-luxury
114,Residential Apartment,Gurgaon,Sector 28,0,3.0,3.0,1,1,3,3,17.0,37.0,1750.0,,1750,65000.0,3.0,28.475639,77.0823482,Semi-luxury
115,Residential Apartment,Gurgaon,DLF Phase 2,0,4.0,2.0,4,3,3,11,20.0,35.0,,1711.0,1711,60000.0,4.0,28.491169,77.091415,Semi-luxury
116,Residential Apartment,Gurgaon,Sector 54,0,4.0,2.0,4,1,2,9,18.0,50.0,,3160.0,3160,1600000.0,4.0,28.4383596,77.1062709,Semi-luxury
117,Residential Apartment,Gurgaon,Sector 54,0,4.0,4.0,1,3,2,2,30.0,68.0,,2917.0,2917,200000.0,4.0,28.449548,77.101515,Semi-luxury
118,Residential Land,Gurgaon,South City 2,1,,,0,2,0,,4.0,200000.0,,,3240,72000000.0,,28.418353,77.053084,Semi-luxury
119,Residential Apartment,Gurgaon,Sector 48,0,1.0,1.0,1,5,1,9,17.0,80.0,,935.0,935,75000.0,1.0,28.423345,77.037523,Semi-luxury
120,Residential Apartment,Gurgaon,Sector 103,1,3.0,4.0,4,3,6,15,19.0,6546.0,1056.0,1940.0,1940,12700000.0,2.0,28.4895613,76.9835069,Semi-luxury
121,Residential Apartment,Gurgaon,Sector 103,1,3.0,4.0,4,5,1,5,11.0,7357.0,1495.0,1991.0,1991,11000000.0,3.0,28.495485,76.988401,Semi-luxury
122,Independent House/Villa,Gurgaon,"Block C, Sushant Lok Phase 1",0,8.0,4.0,1,3,2,,3.0,930.0,,,1935,200000.0,8.0,28.4546,77.0818,Luxury
123,Residential Apartment,Gurgaon,Sector 104,1,3.0,2.0,4,5,5,28,35.0,10669.0,861.97,1359.0,1359,14500000.0,3.0,28.484795,76.999036,Semi-luxury
124,Independent/Builder Floor,Gurgaon,Sector 63,1,5.0,2.0,4,8,1,1,4.0,21800.0,2500.0,,2500,54500000.0,5.0,28.398527,77.098785,Luxury
125,Residential Apartment,Gurgaon,Sector 102,0,3.0,3.0,4,5,1,6,26.0,17.0,1128.09,1852.0,1852,33000.0,3.0,28.479276836122,76.976094508889,Semi-luxury
126,Independent/Builder Floor,Gurgaon,DLF Phase 1,0,4.0,4.0,4,3,6,2,4.0,400.0,2700.00000000027,,2700,1200000.0,,28.4754909,77.1032095,Luxury
127,Residential Apartment,Gurgaon,Sector 107,1,2.0,3.0,2,0,1,5,14.0,6192.0,1056.0,1534.0,1534,9500000.0,2.0,28.50279,76.964006,Semi-luxury
128,Residential Apartment,Gurgaon,DLF Phase 2,1,4.0,2.0,1,3,3,16,20.0,14026.0,,1711.0,1711,24000000.0,4.0,28.491169,77.091415,Semi-luxury
129,Residential Land,Gurgaon,Sohna,1,,,0,5,0,,1.0,16666666.0,,,784080,300000000.0,,28.249352,77.067276,Semi-luxury
130,Residential Apartment,Gurgaon,Sector 112,1,3.0,4.0,2,7,6,16,28.0,13526.0,,2802.0,2802,37900000.0,3.0,28.518677,77.015115,Semi-luxury
131,Residential Apartment,Gurgaon,Sector 108,1,2.0,2.0,2,7,5,15,24.0,17378.0,848.2,1381.0,1381,24000000.0,2.0,28.516331087497,76.995685046165,Semi-luxury
132,Independent/Builder Floor,Gurgaon,Malibu Town,1,3.0,2.0,4,5,6,1,4.0,12368.0,1900.0,,1900,23500000.0,3.0,28.425675,77.043508,Luxury
133,Independent/Builder Floor,Gurgaon,Sector 63,1,4.0,2.0,4,3,1,1,4.0,10750.0,2000.0,,2000,21500000.0,,28.3971448,77.0866646,Luxury
134,Independent/Builder Floor,Gurgaon,Sector 63A,1,3.0,2.0,4,5,1,4,4.0,10499.0,1800.0,,1800,18900000.0,3.0,28.392382,77.089173,Luxury
135,Independent/Builder Floor,Gurgaon,Sector 63A,1,3.0,2.0,4,4,1,1,4.0,10500.0,1800.0,,1800,18900000.0,3.0,28.392382,77.089173,Luxury
136,Independent/Builder Floor,Gurgaon,Sector 63A,1,3.0,2.0,4,2,1,2,4.0,10210.0,1850.0,,1850,18900000.0,3.0,28.392382,77.089173,Luxury
137,Residential Apartment,Gurgaon,Sector 102,0,2.0,1.0,4,5,1,6,12.0,29.0,518.0,605.5,605,15200.0,2.0,28.4721149,76.9667065,Semi-luxury
138,Residential Land,Gurgaon,Sohna,1,,,0,1,0,,4.0,91200.0,,,1125,11500000.0,,28.250651,77.079725,Semi-luxury
139,Independent/Builder Floor,Gurgaon,Uppals Southend,1,3.0,2.0,4,5,2,1,3.0,45980.0,2799.00000000028,,2799,14300000.0,3.0,28.409324,77.045716,Luxury
140,Residential Apartment,Gurgaon,Sector 85,0,2.0,3.0,4,5,6,6,26.0,21.0,,1640.0,1640,35000.0,,28.401311,76.9513432,Semi-luxury
141,Residential Apartment,Gurgaon,Sector 37D,0,2.0,3.0,4,3,1,14,19.0,13.0,,1380.0,1380,19300.0,2.0,28.4465158,76.9683684,Semi-luxury
142,Residential Apartment,Gurgaon,Sector 37D,0,3.0,3.0,4,3,1,16,22.0,16.0,,1800.0,1800,29400.0,3.0,28.45147,76.96728,Semi-luxury
143,Residential Apartment,Gurgaon,Sector 103,1,3.0,4.0,4,5,1,9,11.0,7229.0,1480.0,2000.0,2000,10700000.0,3.0,28.495485,76.988401,Semi-luxury
144,Residential Apartment,Gurgaon,Sector 107,1,2.0,3.0,1,3,1,7,14.0,11326.0,927.0,1536.0,1536,10500000.0,2.0,28.514725,76.973355,Semi-luxury
145,Residential Apartment,Gurgaon,Sector 103,1,4.0,4.0,4,5,1,7,11.0,5494.0,,2639.0,2639,14500000.0,4.0,28.495485,76.988401,Semi-luxury
146,Residential Apartment,Gurgaon,Sector 90,1,3.0,3.0,4,3,1,7,29.0,8000.0,1750.0,,1750,14000000.0,3.0,28.406885,76.930127,Semi-luxury
147,Residential Land,Gurgaon,Sector-35 Sohna,1,,,0,3,0,,4.0,70937.0,,,1152,90800000.0,,28.28376,77.06532,Semi-luxury
148,Residential Apartment,Gurgaon,Sector 68,1,3.0,4.0,4,6,6,8,35.0,9304.0,,1999.0,1999,18600000.0,3.0,28.3883395,77.0417097,Semi-luxury
149,Independent House/Villa,Gurgaon,Sector 48,1,4.0,4.0,4,1,6,,2.0,222222.0,,,3240,80000000.0,4.0,28.463784,77.062503,Luxury
150,Independent House/Villa,Gurgaon,Nirvana Country,1,4.0,2.0,4,4,2,,2.0,297222.0,,,3240,107000000.0,,28.416992,77.06544,Luxury
151,Residential Land,Gurgaon,Sector-35 Sohna,1,,,0,7,0,,4.0,69642.0,,,1512,11800000.0,,28.28376,77.06532,Semi-luxury
152,Residential Apartment,Gurgaon,Sector 102,1,2.0,3.0,4,0,5,8,26.0,11111.0,734.8,1215.0,1215,13500000.0,2.0,28.479276836122,76.976094508889,Semi-luxury
153,Residential Apartment,Gurgaon,Sector 102,1,2.0,2.0,4,5,6,6,26.0,11275.0,734.8,1215.0,1215,13700000.000000002,2.0,28.479276836122,76.976094508889,Semi-luxury
154,Residential Apartment,Gurgaon,Sector 107,1,3.0,4.0,4,5,1,7,14.0,10227.0,1760.0,2361.0,2361,18000000.0,3.0,28.514725,76.973355,Semi-luxury
155,Residential Apartment,Gurgaon,Sector 107,1,3.0,4.0,1,3,1,1,14.0,9520.0,1460.0,1943.0,1943,13899999.999999998,3.0,28.514725,76.973355,Semi-luxury
156,Independent/Builder Floor,Gurgaon,Sector 48,1,4.0,2.0,4,8,6,G,4.0,9629.0,2700.0,,2700,26000000.0,4.0,28.523233,77.03033,Luxury
157,Residential Apartment,Gurgaon,DLF Phase 2,1,4.0,2.0,2,3,2,19,19.0,10216.0,,1762.0,1762,23800000.0,4.0,28.4902247,77.0917625,Semi-luxury
