,PROPERTY_TYPE,CITY,LOCALITY,OWNTYPE,BEDROOM_NUM,BALCONY_NUM,FURNISH,FACING,AGE,FLOOR_NUM,TOTAL_FLOOR,PRICE_SQFT,CARPET_SQFT,SUPERBUILTUP_SQFT,AREA,PRICE,BHK,LATITUDE,LONGITUDE,LUXURY
1668,Residential Apartment,Gurgaon,Sector 36 Sohna,1,3.0,3.0,4,3,6,2,4.0,10343.0,740.0,1081.0,1081,765400000.0,3.0,28.29722,77.06475,Semi-luxury
1669,Residential Apartment,Gurgaon,Sector 36 Sohna,1,3.0,3.0,4,3,6,2,4.0,9876.0,845.0,1119.0,1119,834600000.0,3.0,28.29722,77.06475,Semi-luxury
1670,Independent/Builder Floor,Gurgaon,Sector 65,0,4.0,3.0,4,5,1,2,3.0,26.0,1800.0,2300.0,2300,60000.0,,28.4056704,77.070837,Luxury
1671,Independent House/Villa,Gurgaon,DLF Phase 3,1,10.0,4.0,1,5,2,,5.0,308333.0,,,540,18500000.0,,28.4934896,77.1039288,Luxury
1672,Residential Apartment,Gurgaon,Sector 92,1,2.0,3.0,4,3,5,3,4.0,6684.0,650.0,1190.0,1190,795400000.0,,28.412695,76.9174417,Semi-luxury
1673,Residential Apartment,Gurgaon,Sector 92,1,3.0,3.0,4,3,5,2,4.0,6478.0,950.0,1432.0,1432,927700000.0,,28.412695,76.9174417,Semi-luxury
1674,Residential Apartment,Gurgaon,Sector 36 Sohna,1,2.0,3.0,4,3,6,3,4.0,12704.0,550.0,951.0,951,698800000.0,,28.29722,77.06475,Semi-luxury
1675,Residential Apartment,Gurgaon,Sohna,1,3.0,4.0,4,3,6,2,4.0,10147.0,1050.0,1550.0,1550,10700000.0,3.0,28.288317,77.066043,Semi-luxury
1676,Residential Apartment,Gurgaon,Sohna,1,3.0,3.0,4,3,6,3,4.0,9554.0,900.0,1225.0,1225,859900000.0,3.0,28.288317,77.066043,Semi-luxury
1677,Residential Apartment,Gurgaon,Sector 62,0,4.0,4.0,4,3,2,4,25.0,29.0,2000.0,2527.0,2527,74000.0,4.0,28.424718,77.038262,Semi-luxury
1678,Residential Apartment,Gurgaon,Sector 57,1,3.0,4.0,4,1,2,2,18.0,9972.0,,2587.0,2587,25800000.0,3.0,28.4234414,77.0765927,Semi-luxury
1679,Independent/Builder Floor,Gurgaon,Sector 43,0,4.0,4.0,4,3,6,G,4.0,350.0,1800.00000000018,,1800,70000.0,,28.4532404,77.0881034,Luxury
1680,Independent/Builder Floor,Gurgaon,DLF Phase 1,0,3.0,3.0,4,5,2,1,3.0,180.0,4500.00000000045,,4500,90000.0,3.0,28.472243,77.104872,Luxury
1681,Independent House/Villa,Gurgaon,Sushant Lok Phase 3,1,4.0,4.0,4,5,6,,2.0,208333.0,,,1728,40000000.0,4.0,77.02664,28.4595,Luxury
1682,Residential Apartment,Gurgaon,Sector 59,0,4.0,3.0,4,3,6,19,30.0,49.0,2800.0,3625.0,3625,17500000.0,4.0,28.409463,77.108186,Semi-luxury
1683,Residential Apartment,Gurgaon,Sector 67,0,3.0,3.0,4,2,1,8,21.0,31.0,1900.0,2358.0,2358,82000.0,3.0,28.389679,77.059355,Semi-luxury
1684,Residential Apartment,Gurgaon,Sector 66,0,3.0,3.0,4,5,1,3,17.0,36.0,1550.0,1950.0,1950,72000.0,3.0,28.3982709,77.053568,Semi-luxury
1685,Residential Land,Gurgaon,Nirvana Country,1,,,0,4,0,,4.0,241666.0,,,3240,87000000.0,,28.42049,77.06328,Semi-luxury
1686,Residential Apartment,Gurgaon,Sector 66,1,3.0,3.0,4,8,1,3,17.0,15433.0,1850.0,2203.0,2203,34000000.0,3.0,28.3982709,77.053568,Semi-luxury
1687,Residential Apartment,Gurgaon,Sector 62,0,4.0,3.0,4,5,6,12,27.0,38.0,3100.0,3890.0,3890,15500000.0,4.0,28.41201,77.09085,Semi-luxury
1688,Residential Apartment,Gurgaon,Sector 66,0,3.0,3.0,4,5,1,5,16.0,33.0,1750.0,1996.0,1996,67000.0,3.0,28.3982709,77.053568,Semi-luxury
1689,Residential Apartment,Gurgaon,Sector 37D,1,3.0,4.0,2,5,5,4,19.0,4761.0,1500.0,2100.0,2100,10000000.0,3.0,28.444091,76.967096,Semi-luxury
1690,Residential Apartment,Gurgaon,Sector 89 A,1,3.0,4.0,4,5,1,18,22.0,10946.0,1690.0,2150.0,2150,18500000.0,3.0,28.4373379,76.9440586,Semi-luxury
1691,Residential Apartment,Gurgaon,Sector 37D,1,3.0,4.0,4,5,1,14,22.0,6647.0,1320.0,1775.0,1775,11800000.0,3.0,28.45147,76.96728,Semi-luxury
1692,Residential Apartment,Gurgaon,Sector 54,0,3.0,4.0,4,4,2,28,30.0,64.0,1600.0,2315.0,2315,1500000.0,,28.443185,77.108897,Semi-luxury
1693,Residential Apartment,Gurgaon,Sector 68,1,2.0,3.0,4,5,1,22,35.0,11005.0,945.0,1245.0,1245,10400000.0,2.0,28.3883395,77.0417097,Semi-luxury
1694,Residential Apartment,Gurgaon,Sector 49,1,4.0,3.0,4,5,2,4,17.0,1127.0,,26602.0,26602,30000000.0,4.0,28.4091958,77.0478112,Semi-luxury
1695,Residential Apartment,Gurgaon,Sector 106,1,4.0,4.0,4,2,1,20,24.0,8639.0,1690.0,2355.0,2355,14600000.0,4.0,28.499693,76.999962,Semi-luxury
1696,Residential Apartment,Gurgaon,Sector 106,1,3.0,3.0,4,4,1,4,24.0,7207.0,1034.0,1665.0,1665,12000000.0,3.0,28.4989451,76.9999178,Semi-luxury
1697,Independent/Builder Floor,Gurgaon,Sector 81,1,3.0,4.0,4,5,5,2,4.0,10548.0,1135.0,1403.0,1403,14800000.0,2.0,28.388058,76.94343,Luxury
1698,Residential Apartment,Gurgaon,Sector 89 A,1,3.0,4.0,4,7,1,11,22.0,8744.0,1640.0,2150.0,2150,18800000.0,3.0,28.435487,76.944537,Semi-luxury
1699,Residential Apartment,Gurgaon,Sector 37D,0,3.0,3.0,4,5,1,9,22.0,18.0,1400.0,1775.0,1775,32000.0,3.0,28.4522621,76.9731219,Semi-luxury
1700,Residential Apartment,Gurgaon,Sector 106,1,2.0,4.0,4,4,1,2,8.0,7220.0,845.0,1385.0,1385,10000000.0,2.0,28.5033,76.99743,Semi-luxury
1701,Residential Apartment,Gurgaon,Sector 108,1,3.0,3.0,4,5,6,12,19.0,17125.0,1489.0,1745.0,1745,25500000.0,3.0,28.516331087497,76.995685046165,Semi-luxury
1702,Residential Apartment,Gurgaon,Sector 37D,1,2.0,2.0,2,4,1,6,13.0,8125.0,800.0,1055.0,1055,6500000.0,,28.4474915,76.9714036,Semi-luxury
1703,Residential Apartment,Gurgaon,Sector 28,0,4.0,4.0,4,8,3,15,17.0,25.0,2200.0,2734.0,2734,70000.0,4.0,28.476487,77.073759,Semi-luxury
1704,Residential Land,Gurgaon,Sector 45,1,,,0,8,0,,4.0,181000.0,,,900,18100000.0,,28.4439933,77.06652,Semi-luxury
1705,Residential Apartment,Gurgaon,DLF Phase 5,0,3.0,3.0,1,2,3,11,20.0,57.0,1950.0,2610.0,2610,1500000.0,3.0,28.44673,77.09355,Semi-luxury
1706,Residential Apartment,Gurgaon,DLF Phase 5,0,4.0,3.0,1,2,3,12,20.0,67.0,1950.0,2610.0,2610,17500000.0,4.0,28.44673,77.09355,Semi-luxury
1707,Residential Apartment,Gurgaon,DLF Phase 4,1,2.0,4.0,4,5,3,G,20.0,17253.0,,1420.0,1420,24500000.0,2.0,28.465786,77.083806,Semi-luxury
1708,Independent House/Villa,Gurgaon,Sector 109,0,6.0,4.0,4,3,1,,2.0,20.0,6000.0,,8000,1600000.0,6.0,28.513368,76.996723,Luxury
1709,Residential Apartment,Gurgaon,Sector 37D,0,2.0,3.0,4,3,1,6,23.0,27.0,596.12,700.0,700,19500.0,2.0,28.447041,76.979595,Semi-luxury
1710,Residential Apartment,Gurgaon,Sector 109,0,6.0,4.0,4,3,1,26,27.0,16.0,5000.0,7400.0,7400,12500000.0,6.0,28.515309,77.003236,Semi-luxury
