index,PROPERTY_TYPE,CITY,OWNTYPE,BEDROOM_NUM,FURNISH,FACING,AGE,TOTAL_FLOOR,PRICE_SQFT,AREA,PRICE,BALCONY_NUM,FLOOR_NUM,BHK,LOCALITY,LATITUDE,LONGITUDE,LUXURY,SWIMMING_POOL,POWER_BACKUP,CLUB_HOUSE,PARKING,ATM,GYM,LIFT,WASTE_DISPOSAL,GAS_PIPELINE,NEAR_BANK
1,Residential Apartment,Hyderabad,1,3.0,4,3,5,30,5428.0,1658.0,9000000.0,3,9,3,Manikonda,17.58048163680935,78.93686802452929,Luxury,1,0,1,0,1,1,1,0,0,0
5,Independent/Builder Floor,Hyderabad,1,2.0,4,2,3,2,7964.0,565.0,4500000.0,1,1,2,Manikonda,17.5316,78.26729,Luxury,0,0,0,0,0,0,0,0,0,0
6,Residential Apartment,Hyderabad,1,2.0,1,3,1,5,4771.0,1205.0,57500000.0,1,4,2,Manikonda,17.620662,77.953509,Luxury,1,0,0,0,0,0,0,1,0,0
7,Residential Apartment,Hyderabad,4,2.0,2,3,2,5,6528.0,1685.0,10500000.0,3,2,2,Manikonda,17.343347,78.513876,Luxury,0,0,1,0,1,1,1,0,0,0
10,Residential Apartment,Hyderabad,1,3.0,1,3,3,4,6188.0,1325.0,8200000.0,2,3,3,Manikonda,17.538237,78.480804,Budget,0,0,0,0,0,0,0,0,0,0
11,Residential Apartment,Hyderabad,1,2.0,0,3,5,22,7700.0,1433.0,13600000.000000002,2,13,2,Manikonda,17.396947,78.340246,Luxury,1,0,1,0,1,1,1,1,1,0
13,Independent House/Villa,Secunderabad,1,5.0,1,1,3,3,16250.0,4000.0,55000000.0,2,3,5,Manikonda,17.532558,78.529251,Luxury,0,0,0,0,0,0,0,1,0,0
15,Independent House/Villa,Hyderabad,1,6.0,4,0,1,2,26000.0,2250.0,52000000.0,1,2,6,Manikonda,17.5227762257577,78.6210684465697,Semi-luxury,0,0,0,0,0,0,0,0,0,0
17,Independent/Builder Floor,Hyderabad,1,3.0,1,1,2,5,5990.0,1536.0,94500000.0,2,4,3,Manikonda,17.460537,78.497056,Luxury,0,0,0,0,0,0,0,1,0,0
19,Independent House/Villa,Hyderabad,1,10.0,2,0,2,2,4895.0,1800.0,23500000.0,2,2,10,Manikonda,17.500334,78.3275388,Luxury,0,0,0,0,0,0,0,0,0,0
20,Residential Apartment,Secunderabad,1,2.0,2,4,6,5,5638.0,1312.0,7400000.0,1,3,2,Manikonda,17.3858754,78.361176,Semi-luxury,0,0,0,0,0,0,0,0,0,0
21,Residential Apartment,Hyderabad,1,2.0,1,3,1,5,5833.0,1200.0,7000000.0,2,2,2,Manikonda,17.531253,78.390583,Luxury,0,0,0,0,0,0,0,0,0,0
22,Independent House/Villa,Hyderabad,1,3.0,2,3,6,2,13750.0,1600.0,22000000.0,2,2,3,Manikonda,17.538237,78.480804,Luxury,1,0,1,0,1,1,0,1,0,0
23,Residential Apartment,Hyderabad,1,3.0,2,1,3,5,3399.0,1765.0,6000000.0,1,4,3,Manikonda,17.442196,78.280067,Luxury,0,0,0,0,0,1,1,0,0,1
24,Residential Apartment,Hyderabad,1,3.0,4,3,1,5,7488.0,2270.0,17000000.0,2,5,3,Manikonda,17.518637,78.340735,Luxury,0,0,0,0,0,0,1,0,0,0
25,Independent House/Villa,Hyderabad,1,2.0,1,3,6,2,33879.0,1647.0,6200000.0,2,2,2,Manikonda,17.392278,78.353868,Luxury,0,0,0,0,0,0,0,0,0,0
26,Independent House/Villa,Hyderabad,1,3.0,1,5,3,2,11666.0,2400.0,28000000.0,1,2,3,Manikonda,78.48667,17.38504,Luxury,0,0,0,0,0,0,0,1,0,0
27,Residential Apartment,Hyderabad,1,3.0,2,5,5,4,4575.0,1530.0,7000000.0,2,3,3,Manikonda,17.407322,78.539665,Luxury,0,0,0,0,0,0,1,0,0,0
28,Residential Apartment,Hyderabad,1,3.0,2,1,3,4,5084.0,1475.0,7500000.0,2,1,3,Manikonda,17.62948,78.4943,Semi-luxury,0,0,0,0,0,0,1,0,0,0
29,Independent House/Villa,Secunderabad,1,4.0,4,3,3,3,17777.0,4500.0,75000000.0,3,3,4,Manikonda,17.4609913,78.3532083,Luxury,0,0,1,0,1,1,0,0,0,1
30,Residential Apartment,Hyderabad,1,3.0,2,0,5,40,6500.0,2600.0,16900000.0,1,12,3,Manikonda,17.6197,78.082693,Semi-luxury,1,0,1,0,1,1,0,0,0,0
31,Residential Apartment,Hyderabad,1,3.0,2,5,6,4,9090.0,2200.0,20000000.0,4,2,3,Manikonda,17.25756,78.85695,Luxury,0,0,0,0,1,0,1,1,0,0
34,Independent House/Villa,Hyderabad,1,4.0,0,3,5,1,7656.0,4310.0,33000000.0,3,1,4,Manikonda,17.563203,78.401403,Luxury,1,0,1,0,0,0,0,0,0,0
35,Residential Apartment,Hyderabad,1,2.0,2,3,6,5,6034.0,1160.0,7000000.0,2,3,2,Manikonda,78.48667,17.38504,Luxury,1,0,1,0,1,1,1,1,0,0
36,Independent/Builder Floor,Hyderabad,1,3.0,2,3,2,4,2781.0,1880.0,49500000.0,2,0,3,Manikonda,17.368876,78.55348,Semi-luxury,0,0,0,0,1,0,0,0,0,0
37,Independent House/Villa,Secunderabad,1,3.0,0,0,3,2,75418.0,1611.0,13500000.0,1,2,3,Manikonda,17.396115,78.357941,Semi-luxury,0,0,0,0,0,0,0,0,0,0
