index,PROPERTY_TYPE,CITY,OWNTYPE,BEDROOM_NUM,FURNISH,FACING,AGE,TOTAL_FLOOR,PRICE_SQFT,AREA,PRICE,BALCONY_NUM,FLOOR_NUM,BHK,LOCALITY,LATITUDE,LONGITUDE,LUXURY,SWIMMING_POOL,POWER_BACKUP,CLUB_HOUSE,PARKING,ATM,GYM,LIFT,WASTE_DISPOSAL,GAS_PIPELINE,NEAR_BANK
38,Residential Apartment,Hyderabad,1,3.0,0,3,5,13,6352.0,1039.0,6700000.0,1,4,3,Manikonda,17.485206408706663,78.60681438946276,Luxury,1,0,1,0,0,1,1,0,1,0
39,Residential Apartment,Hyderabad,1,3.0,4,0,3,30,9368.0,1923.0,17800000.0,1,7,3,Manikonda,17.4062722,78.436657,Luxury,1,0,1,0,1,1,1,0,0,0
40,Residential Apartment,Hyderabad,1,3.0,4,5,3,5,9726.0,1645.0,16000000.0,2,3,3,Manikonda,17.138823,78.474569,Luxury,1,0,0,0,0,1,1,0,0,0
41,Independent House/Villa,Hyderabad,1,2.0,2,0,5,2,93750.0,1440.0,15000000.0,1,2,2,Manikonda,17.4011618,78.37569,Semi-luxury,0,0,0,0,0,0,0,0,0,0
42,Residential Apartment,Hyderabad,1,3.0,1,3,6,5,7812.0,1600.0,12500000.0,2,1,3,Manikonda,17.478768,78.575103,Luxury,0,0,0,0,0,0,1,0,0,0
43,Independent House/Villa,Hyderabad,1,3.0,2,3,5,3,6481.0,2700.0,17500000.0,1,3,3,Manikonda,17.27395,78.59163,Luxury,0,0,0,0,0,0,0,0,0,0
44,Independent House/Villa,Hyderabad,1,4.0,2,3,5,2,7045.0,1350.0,15500000.0,1,2,4,Manikonda,16.985875,78.499864,Luxury,0,0,0,0,0,0,0,0,0,0
45,Residential Apartment,Hyderabad,1,3.0,4,3,1,35,10536.0,1993.0,21000000.0,1,9,3,Manikonda,17.31144,78.53485,Luxury,1,0,1,0,1,1,1,1,1,0
47,Residential Apartment,Hyderabad,1,3.0,1,3,3,4,7692.0,1248.0,9600000.0,2,4,3,Manikonda,17.501856,78.624757,Luxury,0,0,0,0,1,0,1,0,0,0
48,Independent House/Villa,Hyderabad,1,4.0,2,4,1,3,26123.0,2871.0,63000000.0,3,3,4,Manikonda,17.338049,78.612393,Luxury,1,0,1,0,1,1,0,1,0,0
52,Residential Apartment,Hyderabad,1,3.0,4,4,6,5,8196.0,1525.0,12500000.0,2,2,3,Manikonda,17.448846,78.38744,Luxury,1,0,1,0,1,1,1,1,0,0
53,Residential Apartment,Hyderabad,1,3.0,2,4,6,11,10500.0,2249.0,23500000.0,2,9,3,Manikonda,17.19515,78.65624,Luxury,1,0,1,0,0,0,1,0,0,0
