,PROPERTY_TYPE,CITY,OWNTYPE,BEDROOM_NUM,FURNISH,FACING,AGE,TOTAL_FLOOR,FEATURES,PRICE_SQFT,AREA,SUPERBUILTUP_SQFT,PRICE,BALCONY_NUM,FLOOR_NUM,BHK,LOCALITY,LATITUDE,LONGITUDE,LUXURY,CARPET_SQFT,SWIMMING_POOL,POWER_BACKUP,CLUB_HOUSE,PARKING,PARKING,ATM,GYM,LIFT,WASTE_DISPOSAL,GAS_PIPELINE,NEAR_BANK
4133,Residential Apartment,Hyderabad,1,3.0,4,5,6,5.0,"44,12,24,26,17,1,3,6,30,20,31,21,32",6250.0,1650.0,1649.9998252159999,10300000.0,3.0,5,3,Manikonda,17.4480919,78.3787508,Luxury,1649.9998252159999,1,0,1,0,1,0,1,1,0,0,0
4134,Residential Apartment,Hyderabad,1,3.0,4,5,5,10.0,"44,33,23,12,24,26,1,3,5,6,40,30,20,21,32",9500.0,2260.0,2259.9906275840003,21500000.0,3.0,10,3,Manikonda,17.4480919,78.3787508,Luxury,2259.9906275840003,1,0,1,0,1,0,1,1,0,0,0
4135,Residential Apartment,Hyderabad,3,3.0,4,5,5,40.0,"44,33,23,12,46,26,1,3,5,6,9,40,30,20,31,21,32",9500.0,1900.0,1900.0454638080002,18000000.0,3.0,40,3,Manikonda,17.4480919,78.3787508,Luxury,1899.9545361919998,1,0,1,0,1,1,1,1,0,0,0
4136,Residential Apartment,Hyderabad,1,3.0,4,6,5,23.0,"44,33,12,47,26,17,1,3,5,6,40,30,20,31,21,32",7200.0,2230.0,2229.9593175679997,17300000.0,3.0,G,3,Manikonda,17.47078,78.30668,Luxury,2229.9593175679997,1,0,1,0,1,0,1,1,0,0,0
4137,Residential Apartment,Hyderabad,1,2.0,4,5,6,5.0,"33,12,24,47,26,17,19,1,3,6,40,30,20,31,21,32",7000.0,1345.0,1344.95060448,941500000.0,2.0,5,2,Manikonda,17.485091,78.3671565,Luxury,1344.95060448,1,0,1,0,1,0,1,1,0,0,0
4138,Residential Apartment,Hyderabad,1,3.0,4,5,6,5.0,"33,12,24,47,26,17,1,3,6,8,40,30,20,31,21,32",7000.0,2200.0,2200.0356466559997,15400000.0,3.0,5,3,Manikonda,17.465883,78.371926,Luxury,2199.9643533440003,1,0,1,0,1,0,1,1,0,0,0
4139,Residential Apartment,Hyderabad,1,3.0,4,5,5,7.0,"33,12,24,26,17,1,3,5,6,40,30,20,31,21,32",5599.0,1770.0,1770.017426176,99100000.0,3.0,7,3,Manikonda,17.42278,78.34724,Luxury,1769.982573824,1,0,1,0,1,0,1,1,0,0,0
4140,Residential Apartment,Hyderabad,1,2.0,4,5,5,7.0,"33,45,12,24,26,17,19,1,3,5,6,40,30,20,31,21,32",5599.0,1349.0,1349.040890432,755300000.0,2.0,7,2,Manikonda,17.45506,78.36797,Luxury,1348.959109568,1,0,1,0,1,0,1,1,0,0,0
4141,Residential Apartment,Hyderabad,1,3.0,4,3,6,5.0,"45,12,24,25,47,26,17,28,19,1,3,5,6,40,30,20,42,31,21,32",5200.0,1850.0,1849.9932804480002,96200000.0,2.0,5,3,Manikonda,17.500689,78.42035,Luxury,1849.9932804480002,1,0,1,0,1,0,1,1,1,0,0
4142,Residential Apartment,Hyderabad,0,1.0,4,4,6,4.0,"44,33,23,45,12,24,46,47,17,29,19,1,5,6,30,20,31,21",14.0,618.0,617.956096064,9650.0,1.0,3,1,Manikonda,17.3973794,78.3856447,Luxury,617.956096064,1,0,0,0,1,0,1,1,0,1,0
4143,Residential Apartment,Hyderabad,0,1.0,4,3,6,4.0,"44,33,23,45,24,46,47,5,17,31",14.0,670.0,670.0534224,9750.0,0.0,2,1,Manikonda,17.3923634,78.3621784,Luxury,669.9465776,0,0,0,0,0,0,0,0,0,0,0
4144,Residential Apartment,Hyderabad,0,1.0,4,4,6,4.0,"44,23,45,12,24,46,47,17,19,1,5,6,20,31,21",14.0,615.0,615.049840256,9800.0,1.0,2,1,Manikonda,17.38504,78.48667,Luxury,614.950159744,1,0,0,0,1,0,1,1,0,0,0
4145,Residential Apartment,Hyderabad,0,2.0,4,4,6,5.0,"44,33,23,45,24,46,47,17,19,5,6,20,31,21",17.0,1020.0,1019.988149504,19760.0,1.0,3,2,Manikonda,17.447039,78.17897,Luxury,1019.988149504,0,0,0,0,1,0,0,1,0,0,0
4146,Residential Apartment,Hyderabad,0,1.0,4,3,6,4.0,"44,23,45,24,46,47,5,17,19,31",11.0,790.0,789.963384256,9850.0,1.0,2,1,Manikonda,17.447039,78.17897,Luxury,789.963384256,0,0,0,0,0,0,0,0,0,0,0
4147,Residential Apartment,Hyderabad,0,2.0,4,4,6,5.0,"44,33,23,45,24,46,47,17,19,5,6,20,31,21",15.0,1095.0,1095.012604992,19800.0,1.0,2,2,Manikonda,17.445192,78.146736,Luxury,1094.987395008,0,0,0,0,1,0,0,1,0,0,0
4148,Independent House/Villa,Hyderabad,1,5.0,2,3,6,3.0,"44,23,45,12,24,46,25,47,26,29,19,1,3,5,6,8,9,30,43",100000.0,9000.0,9000.028402752001,100000000.0,3.0,,,Manikonda,17.445192,78.146736,Luxury,8999.971597247999,1,0,1,0,1,1,1,0,1,1,0
4149,Independent House/Villa,Hyderabad,1,5.0,2,3,6,3.0,"44,23,45,12,24,46,25,47,26,29,19,1,3,5,6,8,9,30,43",100000.0,9000.0,9000.028402752001,100000000.0,3.0,,,Manikonda,17.445587,78.146774,Luxury,8999.971597247999,1,0,1,0,1,1,1,0,1,1,0
4150,Independent House/Villa,Hyderabad,1,5.0,2,3,6,3.0,"44,23,45,12,24,46,25,47,26,29,19,1,3,5,6,8,9,30,43",100000.0,9000.0,9000.028402752001,100000000.0,3.0,,,Manikonda,17.445587,78.146774,Luxury,8999.971597247999,1,0,1,0,1,1,1,0,1,1,0
4151,Independent House/Villa,Hyderabad,1,5.0,2,3,6,3.0,"44,23,45,12,24,46,25,47,26,29,19,1,3,5,6,8,9,30,43",100000.0,9000.0,9000.028402752001,100000000.0,3.0,,,Manikonda,17.44723,78.281006,Luxury,8999.971597247999,1,0,1,0,1,1,1,0,1,1,0
4152,Independent House/Villa,Hyderabad,1,5.0,2,3,6,3.0,"44,23,45,12,24,46,25,47,26,29,19,1,3,5,6,8,9,43",100000.0,9000.0,9000.028402752001,100000000.0,3.0,,,Manikonda,17.445475,78.14703,Luxury,8999.971597247999,1,0,1,0,1,1,1,0,1,1,0
4153,Independent House/Villa,Hyderabad,1,5.0,2,3,6,3.0,"44,23,45,12,24,46,25,47,26,29,19,1,3,5,6,8,9,43",100000.0,9000.0,9000.028402752001,100000000.0,3.0,,,Manikonda,17.44723,78.281006,Luxury,8999.971597247999,1,0,1,0,1,1,1,0,1,1,0
4154,Independent House/Villa,Hyderabad,1,5.0,2,3,6,3.0,"44,23,45,12,24,46,25,47,26,29,19,1,3,5,6,8,9,43",100000.0,9000.0,9000.028402752001,100000000.0,3.0,,,Manikonda,17.4664197,78.285342,Luxury,8999.971597247999,1,0,1,0,1,1,1,0,1,1,0
4155,Independent House/Villa,Hyderabad,1,5.0,2,3,6,3.0,"44,23,45,12,24,46,25,47,26,29,19,1,3,5,6,8,9,43",100000.0,9000.0,9000.028402752001,100000000.0,3.0,,,Manikonda,17.4664197,78.285342,Luxury,8999.971597247999,1,0,1,0,1,1,1,0,1,1,0
4156,Independent House/Villa,Hyderabad,1,5.0,2,3,6,3.0,"44,23,45,12,24,46,25,47,26,29,19,1,3,5,6,8,9,43",100000.0,9000.0,9000.028402752001,100000000.0,3.0,,,Manikonda,17.310921,78.136887,Luxury,8999.971597247999,1,0,1,0,1,1,1,0,1,1,0
4157,Residential Apartment,Hyderabad,0,1.0,4,3,6,4.0,"44,23,45,12,24,46,47,17,19,5,6,20,31,21",14.0,695.0,695.0256945279999,9750.0,1.0,3,1,Manikonda,17.463175,78.28648,Luxury,694.9743054720001,0,0,0,0,1,0,1,1,0,0,0
4158,Residential Apartment,Hyderabad,0,1.0,4,3,6,4.0,"44,23,45,12,24,46,47,17,19,5,6,20,31,21",14.0,670.0,670.0534224,9750.0,1.0,3,1,Manikonda,17.3941246,78.5170995,Luxury,669.9465776,0,0,0,0,1,0,1,1,0,0,0
4159,Residential Apartment,Hyderabad,0,1.0,4,3,6,4.0,"44,23,45,12,24,46,47,17,19,5,6,20,31,21",15.0,630.0,630.011675712,9800.0,1.0,2,1,Manikonda,17.4359437,78.3416731,Luxury,629.988324288,0,0,0,0,1,0,1,1,0,0,0
4160,Studio Apartment,Hyderabad,0,1.0,2,3,6,2.0,"23,47,5,31",16.0,405.0,405.04594835200004,6600.0,1.0,1,,Manikonda,78.48667,17.38504,Luxury,404.95405164799996,0,0,0,0,0,0,0,0,0,0,0
4161,Studio Apartment,Hyderabad,0,1.0,2,3,6,2.0,"44,23,47,5",17.0,380.0,379.96603711999995,6550.0,1.0,1,,Manikonda,78.48667,17.38504,Semi-luxury,379.96603711999995,0,0,0,0,0,0,0,0,0,0,0
4162,Studio Apartment,Hyderabad,0,1.0,2,3,6,2.0,"44,23,47,5,31",14.0,397.0,396.97301555200005,6550.0,1.0,2,,Manikonda,78.48667,17.38504,Luxury,396.97301555200005,0,0,0,0,0,0,0,0,0,0,0
4163,Studio Apartment,Hyderabad,0,1.0,2,3,6,3.0,"44,23,46,47,5,9,31",15.0,410.0,409.99734713600003,6590.0,1.0,2,,Manikonda,78.48667,17.38504,Luxury,409.99734713600003,0,0,0,0,0,1,0,0,0,0,0
4164,Residential Apartment,Hyderabad,0,1.0,4,3,6,3.0,"44,23,46,47,5,19,31",13.0,740.0,740.0188400000001,9650.0,1.0,2,1,Manikonda,78.48667,17.38504,Luxury,739.9811599999999,0,0,0,0,0,0,0,0,0,0,0
4165,Residential Apartment,Hyderabad,0,2.0,4,3,6,5.0,"44,33,23,24,46,47,5,17,19,20,31,21",18.0,1030.0,1029.9985861760001,19500.0,1.0,3,2,Manikonda,78.48667,17.38504,Luxury,1029.9985861760001,0,0,0,0,0,0,0,1,0,0,0
4166,Residential Apartment,Hyderabad,0,2.0,4,3,6,5.0,"44,23,45,12,24,46,47,17,19,5,6,20,31,21",17.0,1060.0,1060.029896192,19850.0,1.0,2,2,Manikonda,78.48667,17.38504,Luxury,1059.970103808,0,0,0,0,1,0,1,1,0,0,0
4167,Residential Apartment,Hyderabad,0,1.0,4,3,6,3.0,"44,33,23,45,46,47,5,21",14.0,613.0,613.0046972800001,9700.0,1.0,1,1,Manikonda,78.48667,17.38504,Luxury,612.9953027199999,0,0,0,0,0,0,0,1,0,0,0
4168,Residential Apartment,Hyderabad,0,1.0,4,3,6,4.0,"44,33,23,45,12,24,46,47,17,19,5,6,20,31,21",11.0,780.0,779.952947584,9750.0,1.0,2,1,Manikonda,78.48667,17.38504,Luxury,779.952947584,0,0,0,0,1,0,1,1,0,0,0
4169,Residential Apartment,Hyderabad,0,2.0,4,3,6,5.0,"44,33,23,45,24,46,47,17,19,5,6,20,31,21,32",17.0,1020.0,1019.988149504,19650.0,1.0,3,2,Manikonda,78.48667,17.38504,Luxury,1019.988149504,0,0,0,0,1,0,0,1,0,0,0
4170,Studio Apartment,Hyderabad,0,1.0,2,3,1,3.0,"23,47,5",15.0,370.0,369.955600448,6400.0,1.0,2,,Manikonda,17.4285115,78.2424305,Semi-luxury,369.955600448,0,0,0,0,0,0,0,0,0,0,0
4171,Residential Land,Secunderabad,1,,0,8,0,0.0,"23,26,5",54000.0,2700.0,2700.019284736,16200000.000000002,,,,Manikonda,17.4285115,78.2424305,Luxury,2699.980715264,0,0,0,0,0,0,0,0,0,0,0
4172,Residential Land,Hyderabad,1,,0,3,0,0.0,"23,24,26,5",18000.0,1674.0,1674.003345408,334800000.0,,,,Manikonda,17.4285115,78.2424305,Luxury,1673.996654592,0,0,0,0,0,0,0,0,0,0,0
4173,Residential Land,Hyderabad,1,,0,5,0,0.0,"23,24,26,5",18000.0,2700.0,2700.019284736,5400000.0,,,,Manikonda,78.48667,17.38504,Luxury,2699.980715264,0,0,0,0,0,0,0,0,0,0,0
4174,Residential Apartment,Hyderabad,0,1.0,4,3,6,4.0,"44,33,23,46,47,5,21",14.0,614.0,613.9734492160001,8650.0,1.0,3,1,Manikonda,78.48667,17.38504,Luxury,613.9734492160001,0,0,0,0,0,0,0,1,0,0,0
4175,Residential Apartment,Hyderabad,0,2.0,4,3,6,4.0,"44,33,23,45,24,46,47,17,19,5,6,20,31,21",17.0,1010.0,1009.9777128320001,18450.0,1.0,3,2,Manikonda,78.48667,17.38504,Luxury,1009.9777128320001,0,0,0,0,1,0,0,1,0,0,0
4176,Studio Apartment,Hyderabad,0,1.0,2,4,6,3.0,"23,47,5",15.0,365.0,365.004201664,6350.0,1.0,1,,Manikonda,78.48667,17.38504,Semi-luxury,364.995798336,0,0,0,0,0,0,0,0,0,0,0
4177,Residential Apartment,Hyderabad,0,2.0,4,4,6,4.0,"33,23,45,12,24,46,47,17,19,5,6,20,31,21",17.0,981.0,981.022793856,18350.0,1.0,2,2,Manikonda,78.48667,17.38504,Luxury,980.977206144,0,0,0,0,1,0,1,1,0,0,0
4178,Residential Apartment,Hyderabad,0,1.0,4,3,6,4.0,"44,23,24,46,47,5,17,20,31",13.0,710.0,709.9875299839999,9500.0,1.0,2,1,Manikonda,78.48667,17.38504,Luxury,709.9875299839999,0,0,0,0,0,0,0,0,0,0,0
4179,Residential Apartment,Hyderabad,0,1.0,4,3,6,4.0,"44,33,23,45,24,46,47,17,19,5,6,20,31,21",11.0,800.0,799.9738209279999,9100.0,1.0,1,1,Manikonda,78.48667,17.38504,Luxury,799.9738209279999,0,0,0,0,1,0,0,1,0,0,0
4180,Residential Apartment,Hyderabad,0,2.0,4,4,6,5.0,"44,33,23,45,12,24,46,47,17,29,19,1,5,6,30,20,31,21",15.0,1140.0,1140.005750464,18500.0,1.0,2,2,Manikonda,17.4285115,78.2424305,Luxury,1139.994249536,1,0,0,0,1,0,1,1,0,1,0
4181,Residential Apartment,Hyderabad,0,1.0,4,3,6,3.0,"44,33,23,45,24,46,47,17,19,5,6,20,31,21",14.0,610.0,609.990802368,9100.0,1.0,2,1,Manikonda,17.4285115,78.2424305,Luxury,609.990802368,0,0,0,0,1,0,0,1,0,0,0
4182,Studio Apartment,Hyderabad,0,1.0,2,3,6,3.0,"23,47,5,31",14.0,420.0,420.00778380800006,6300.0,1.0,3,,Manikonda,17.4285115,78.2424305,Luxury,419.99221619199994,0,0,0,0,0,0,0,0,0,0,0
4183,Residential Apartment,Hyderabad,1,2.0,0,3,5,5.0,"2,26,5,20,21",5008.0,1198.0,1198.02322752,6000000.0,1.0,3,2,Manikonda,17.4285115,78.2424305,Luxury,1197.97677248,0,1,0,0,0,0,0,1,0,0,0
4184,Residential Land,Hyderabad,1,,0,5,0,0.0,"23,24,26,5",18000.0,2250.0,2249.980190912,4500000.0,,,,Manikonda,17.4285115,78.2424305,Luxury,2249.980190912,0,0,0,0,0,0,0,0,0,0,0
4185,Independent House/Villa,Hyderabad,1,4.0,2,5,6,2.0,"45,12,1,24,3,26,6",11195.0,1080.0,1080.050769536,10300000.0,1.0,,,Manikonda,78.48667,17.38504,Luxury,1079.949230464,1,0,1,0,1,0,1,0,0,0,0
4186,Independent House/Villa,Hyderabad,1,4.0,2,3,1,2.0,"44,23,45,24,46,25,47,26,28,29,30,10,32,12,17,39,19,1,3,5,6,8,9,40,41,42,43",30000.0,10000.0,9999.995678912,300000000.0,2.0,,,Manikonda,78.48667,17.38504,Luxury,9999.995678912,1,0,1,0,1,1,1,0,1,1,1
4187,Residential Apartment,Hyderabad,1,4.0,2,3,5,18.0,"44,23,45,24,46,47,25,26,28,29,30,31,32,12,17,39,19,1,3,5,6,8,9,41,20,42,21,43",10000.0,9599.0,9599.040016512,96000000.0,1.0,9,4,Manikonda,78.48667,17.38504,Luxury,9598.959983488,1,0,1,0,1,1,1,1,1,1,1
4188,Residential Land,Hyderabad,1,,0,3,0,25.0,"23,24,26",19000.0,1800.0,1800.048736192,3800000.0,,,,Manikonda,78.48667,17.38504,Luxury,1799.951263808,0,0,0,0,0,0,0,0,0,0,0
4189,Residential Land,Hyderabad,1,,0,3,0,5.0,23,20000.0,180.0,179.97258188799998,3600000.0,,,,Manikonda,78.48667,17.38504,Budget,179.97258188799998,0,0,0,0,0,0,0,0,0,0,0
4190,Residential Land,Hyderabad,1,,0,1,0,,"23,24,26,5",7200.0,5445.0,5445.031714944001,435600000.0,,,,Manikonda,78.48667,17.38504,Luxury,5444.968285055999,0,0,0,0,0,0,0,0,0,0,0
4191,Residential Land,Hyderabad,1,,0,0,0,2.0,"23,24,26,5",21000.0,1809.0,1808.982781824,4000000.0,,,,Manikonda,78.48667,17.38504,Luxury,1808.982781824,0,0,0,0,0,0,0,0,0,0,0
4192,Residential Land,Hyderabad,1,,0,4,0,3.0,"23,24",8500.0,3600.0,3599.98983328,3400000.0,,,,Manikonda,78.48667,17.38504,Semi-luxury,3599.98983328,0,0,0,0,0,0,0,0,0,0,0
4193,Residential Land,Hyderabad,1,,0,3,0,3.0,"23,24,26",8500.0,1800.0,1800.048736192,1700000.0,,,,Manikonda,78.48667,17.38504,Luxury,1799.951263808,0,0,0,0,0,0,0,0,0,0,0
4194,Residential Land,Hyderabad,1,,0,3,0,3.0,"23,24,26",32000.0,2403.0,2403.0429968,854400000.0,,,,Manikonda,78.48667,17.38504,Luxury,2402.9570032,0,0,0,0,0,0,0,0,0,0,0
4195,Residential Land,Hyderabad,1,,0,3,0,3.0,"23,24,26",62000.0,3375.0,3375.0241059200002,23300000.0,,,,Manikonda,78.48667,17.38504,Luxury,3374.9758940799998,0,0,0,0,0,0,0,0,0,0,0
4196,Residential Land,Hyderabad,1,,0,3,0,4.0,"23,24,26",11000.0,4500.0,4499.960381824,5500000.0,,,,Manikonda,78.48667,17.38504,Luxury,4499.960381824,0,0,0,0,0,0,0,0,0,0,0
4197,Residential Land,Hyderabad,1,,0,3,0,6.0,"23,24,26,5",16000.0,150.0,150.048910976,2400000.0,,,,Manikonda,78.48667,17.38504,Luxury,149.951089024,0,0,0,0,0,0,0,0,0,0,0
4198,Residential Apartment,Hyderabad,1,2.0,2,3,6,5.0,"23,24,5,17,6,19",6305.0,1130.0,1129.9953137920002,712500000.0,1.0,2,2,Manikonda,78.48667,17.38504,Luxury,1129.9953137920002,0,0,0,0,1,0,0,0,0,0,0
4199,Residential Apartment,Hyderabad,1,2.0,2,3,6,5.0,"23,24,17,20,21",6290.0,1130.0,1129.9953137920002,710800000.0,1.0,3,2,Manikonda,78.48667,17.38504,Luxury,1129.9953137920002,0,0,0,0,0,0,0,1,0,0,0
4200,Residential Apartment,Hyderabad,1,2.0,2,3,1,11.0,"23,24,5,17,6,19,20,21",9184.0,1014.0,1013.96035968,931300000.0,1.0,6,2,Manikonda,78.48667,17.38504,Luxury,1013.96035968,0,0,0,0,1,0,0,1,0,0,0
4201,Residential Apartment,Hyderabad,1,2.0,2,3,1,11.0,"23,24,5,17,6,19,20,21",9090.0,1100.0,1099.964003776,10000000.0,1.0,6,2,Manikonda,78.48667,17.38504,Luxury,1099.964003776,0,0,0,0,1,0,0,1,0,0,0
4202,Residential Apartment,Hyderabad,1,2.0,2,3,1,5.0,"23,24,5,17,19,20,21",6800.0,1200.0,1199.960731392,81600000.0,1.0,2,2,Manikonda,78.48667,17.38504,Luxury,1199.960731392,0,0,0,0,0,0,0,1,0,0,0
4203,Residential Apartment,Hyderabad,1,2.0,2,3,1,5.0,"23,24,17,20,21",6799.0,872.0,871.9843815040001,592900000.0,1.0,2,2,Manikonda,78.48667,17.38504,Luxury,871.9843815040001,0,0,0,0,0,0,0,1,0,0,0
4204,Residential Apartment,Hyderabad,1,3.0,2,3,1,11.0,"23,24,17,6,19,21",5714.0,1750.0,1749.9965528320001,10000000.0,2.0,6,3,Manikonda,78.48667,17.38504,Luxury,1749.9965528320001,0,0,0,0,1,0,0,1,0,0,0
4205,Residential Apartment,Hyderabad,1,2.0,2,3,1,5.0,"23,24,17,19,20,21",6800.0,1039.0,1039.040270912,706500000.0,1.0,2,2,Manikonda,78.48667,17.38504,Luxury,1038.959729088,0,0,0,0,0,0,0,1,0,0,0
4206,Residential Apartment,Hyderabad,1,2.0,2,3,1,5.0,"23,24,20,21",6198.0,1127.0,1126.98141888,698600000.0,1.0,3,2,Manikonda,78.48667,17.38504,Luxury,1126.98141888,0,0,0,0,0,0,0,1,0,0,0
4207,Residential Apartment,Hyderabad,1,2.0,2,3,1,5.0,"23,24,17,19,20,21",6840.0,1238.0,1237.957335104,846900000.0,1.0,2,2,Manikonda,78.48667,17.38504,Luxury,1237.957335104,0,0,0,0,0,0,0,1,0,0,0
4208,Residential Apartment,Hyderabad,1,3.0,2,4,5,47.0,"23,24,5,17,6,19,20,21",6499.0,1333.0,1333.002663936,866400000.0,2.0,5,3,Manikonda,78.48667,17.38504,Luxury,1332.997336064,0,0,0,0,1,0,0,1,0,0,0
4209,Residential Apartment,Hyderabad,1,3.0,2,4,1,10.0,"23,5,17,6,19,20,21",6800.0,1819.0,1818.993218496,12400000.0,1.0,4,3,Manikonda,78.48667,17.38504,Luxury,1818.993218496,0,0,0,0,1,0,0,1,0,0,0
4210,Residential Apartment,Hyderabad,1,2.0,2,3,6,10.0,"23,24,5,17,6,19,20,21",6768.0,1287.0,1287.040766528,871100000.0,1.0,3,2,Manikonda,78.48667,17.38504,Luxury,1286.959233472,0,0,0,0,1,0,0,1,0,0,0
4211,Residential Apartment,Hyderabad,1,3.0,2,4,1,14.0,"23,24,6,19,21",5419.0,1428.0,1428.0479927679999,773900000.0,1.0,3,3,Manikonda,78.48667,17.38504,Luxury,1427.9520072320001,0,0,0,0,1,0,0,1,0,0,0
4212,Residential Apartment,Hyderabad,1,3.0,2,4,1,14.0,"23,24,6,19,21",5470.0,1273.0,1273.047683008,696400000.0,1.0,4,3,Manikonda,17.4285115,78.2424305,Luxury,1272.952316992,0,0,0,0,1,0,0,1,0,0,0
4213,Residential Apartment,Hyderabad,1,2.0,2,3,1,5.0,"23,24,17,6,19,21",5500.0,1100.0,1099.964003776,60500000.0,1.0,2,2,Manikonda,78.48667,17.38504,Luxury,1099.964003776,0,0,0,0,1,0,0,1,0,0,0
4214,Residential Apartment,Hyderabad,1,3.0,2,3,1,5.0,"23,24,19,21",6085.0,1555.0,1554.954496384,946400000.0,2.0,3,3,Manikonda,78.48667,17.38504,Luxury,1554.954496384,0,0,0,0,0,0,0,1,0,0,0
4215,Residential Land,Hyderabad,1,,0,3,0,5.0,"23,24,26,5",15000.0,1746.0,1746.013905984,29100000.0,,,,Manikonda,78.48667,17.38504,Luxury,1745.986094016,0,0,0,0,0,0,0,0,0,0,0
4216,Residential Land,Hyderabad,1,,0,3,0,4.0,"23,24,26,5",16000.0,1503.0,1502.964809152,267200000.0,,,,Manikonda,78.48667,17.38504,Luxury,1502.964809152,0,0,0,0,0,0,0,0,0,0,0
4217,Residential Apartment,Hyderabad,1,3.0,2,3,5,10.0,"44,23,45,24,46,47,25,26,28,29,30,31,10,32,33,12,17,39,19,1,3,5,6,8,9,40,41,20,42,21,43",5600.0,1300.0,1299.957459008,708400000.0,2.0,2,3,Manikonda,78.48667,17.38504,Luxury,1299.957459008,1,0,1,0,1,1,1,1,1,1,1
4218,Residential Apartment,Hyderabad,1,2.0,2,4,1,5.0,"23,24,6,19,20,21",6174.0,1265.0,1264.974750208,781100000.0,1.0,2,2,Manikonda,78.48667,17.38504,Luxury,1264.974750208,0,0,0,0,1,0,0,1,0,0,0
4219,Residential Apartment,Hyderabad,1,3.0,2,4,1,6.0,"23,24,17,6,19,21",5822.0,1420.0,1419.9750599679999,826800000.0,1.0,3,3,Manikonda,78.48667,17.38504,Luxury,1419.9750599679999,0,0,0,0,1,0,0,1,0,0,0
4220,Residential Apartment,Hyderabad,1,2.0,2,3,1,5.0,"23,24,17,19,21",6263.0,1065.0,1064.981294976,667100000.0,1.0,3,2,Manikonda,78.48667,17.38504,Luxury,1064.981294976,0,0,0,0,0,0,0,1,0,0,0
4221,Residential Apartment,Hyderabad,1,3.0,2,3,1,6.0,"23,24,17,6,19,21",5822.0,1420.0,1419.9750599679999,826800000.0,1.0,4,3,Manikonda,78.48667,17.38504,Luxury,1419.9750599679999,0,0,0,0,1,0,0,1,0,0,0
4222,Residential Apartment,Hyderabad,1,3.0,2,3,1,5.0,"23,24,19",5500.0,1500.0,1499.95091424,82500000.0,1.0,2,3,Manikonda,78.48667,17.38504,Luxury,1499.95091424,0,0,0,0,0,0,0,0,0,0,0
4223,Residential Apartment,Hyderabad,1,3.0,2,3,1,5.0,"23,24,17,6,19,21",6080.0,1575.0,1574.975369728,957800000.0,1.0,3,3,Manikonda,78.48667,17.38504,Luxury,1574.975369728,0,0,0,0,1,0,0,1,0,0,0
4224,Residential Apartment,Hyderabad,1,2.0,2,3,1,6.0,"23,24,17,6,19,21",5900.0,1200.0,1199.960731392,70800000.0,1.0,2,2,Manikonda,78.48667,17.38504,Luxury,1199.960731392,0,0,0,0,1,0,0,1,0,0,0
4225,Residential Apartment,Hyderabad,1,2.0,2,3,1,5.0,"23,24,17,6,19,20,21",6441.0,1205.0,1205.01976928,776200000.0,1.0,3,2,Manikonda,78.48667,17.38504,Luxury,1204.98023072,0,0,0,0,1,0,0,1,0,0,0
4226,Residential Apartment,Hyderabad,1,3.0,2,3,5,10.0,"44,23,45,24,46,47,25,26,28,29,30,31,10,32,33,12,17,39,19,1,3,5,6,8,9,40,41,20,42,21,43",5600.0,2000.0,2000.042191424,10200000.0,2.0,6,3,Manikonda,78.48667,17.38504,Luxury,1999.957808576,1,0,1,0,1,1,1,1,1,1,1
4227,Residential Apartment,Hyderabad,1,2.0,2,3,1,5.0,"23,24,6,19,20,21",5902.0,1121.0,1120.953629056,661600000.0,1.0,1,2,Manikonda,78.48667,17.38504,Luxury,1120.953629056,0,0,0,0,1,0,0,1,0,0,0
4228,Residential Apartment,Hyderabad,1,2.0,0,3,1,5.0,"23,24,6,19,20,21",6386.0,1305.0,1305.016496896,833400000.0,1.0,3,2,Manikonda,78.48667,17.38504,Luxury,1304.983503104,0,0,0,0,1,0,0,1,0,0,0
4229,Residential Apartment,Hyderabad,1,2.0,2,3,1,5.0,"23,24,17,6,19,20,21",6481.0,1121.0,1120.953629056,726600000.0,1.0,3,2,Manikonda,78.48667,17.38504,Luxury,1120.953629056,0,0,0,0,1,0,0,1,0,0,0
4230,Residential Apartment,Hyderabad,1,2.0,2,3,1,5.0,"23,24,6,19,20,21",6237.0,1110.0,1109.974440448,692400000.0,1.0,2,2,Manikonda,78.48667,17.38504,Luxury,1109.974440448,0,0,0,0,1,0,0,1,0,0,0
4231,Residential Apartment,Hyderabad,1,2.0,2,1,1,5.0,"23,24,19,20",6200.0,1190.0,1189.95029472,737900000.0,1.0,3,2,Manikonda,78.48667,17.38504,Luxury,1189.95029472,0,0,0,0,0,0,0,0,0,0,0
4232,Residential Apartment,Hyderabad,1,2.0,2,4,1,5.0,"24,17,19",6202.0,1275.0,1274.9851868800001,790900000.0,1.0,3,2,Manikonda,78.48667,17.38504,Luxury,1274.9851868800001,0,0,0,0,0,0,0,0,0,0,0
4233,Residential Apartment,Hyderabad,1,2.0,2,3,1,5.0,"23,24,19,20,21",6200.0,1155.0,1154.96758592,716100000.0,1.0,2,2,Manikonda,78.48667,17.38504,Luxury,1154.96758592,0,0,0,0,0,0,0,1,0,0,0
4234,Residential Apartment,Hyderabad,1,3.0,2,4,1,5.0,"23,24,17,19,20,21",5238.0,1575.0,1574.975369728,82500000.0,1.0,3,3,Manikonda,78.48667,17.38504,Luxury,1574.975369728,0,0,0,0,0,0,0,1,0,0,0
