,PROPERTY_TYPE,CITY,OWNTYPE,BEDROOM_NUM,FURNISH,FACING,AGE,TOTAL_FLOOR,FEATURES,PRICE_SQFT,AREA,SUPERBUILTUP_SQFT,PRICE,BALCONY_NUM,FLOOR_NUM,BHK,LOCALITY,LATITUDE,LONGITUDE,LUXURY,CARPET_SQFT,SWIMMING_POOL,POWER_BACKUP,CLUB_HOUSE,PARKING,PARKING,ATM,GYM,LIFT,WASTE_DISPOSAL,GAS_PIPELINE,NEAR_BANK
23,Residential Apartment,Hyderabad,1,3.0,2,1,3,5.0,"44,23,12,24,26,17,39,19,21",3399.0,1765.0,1764.9583882880002,6000000.0,1.0,4,3,Manikonda,17.442196,78.280067,Luxury,1764.9583882880002,0,0,0,0,0,0,1,1,0,0,1
24,Residential Apartment,Hyderabad,1,3.0,4,3,1,5.0,"23,24,5,17,6,19,40,41,20,42,21",7488.0,2270.0,2270.001064256,17000000.0,2.0,5,3,Manikonda,17.518637,78.340735,Luxury,2269.998935744,0,0,0,0,1,0,0,1,0,0,0
25,Independent House/Villa,Hyderabad,1,2.0,1,3,6,2.0,"24,47,5,6,19,8,40,41",33879.0,1647.0,1646.985930304,6200000.0,2.0,,,Manikonda,17.392278,78.353868,Luxury,1646.985930304,0,0,0,0,1,0,0,0,0,0,0
26,Independent House/Villa,Hyderabad,1,3.0,1,5,3,2.0,"23,24,25,5,6,19,8",11666.0,2400.0,2400.0291018880002,28000000.0,1.0,,,Manikonda,78.48667,17.38504,Luxury,2399.9708981119998,0,0,0,0,1,0,0,0,1,0,0
27,Residential Apartment,Hyderabad,1,3.0,2,5,5,4.0,"24,5,17,6,19,21",4575.0,1530.0,1529.9822242559999,7000000.0,2.0,3,3,Manikonda,17.407322,78.539665,Luxury,1529.9822242559999,0,0,0,0,1,0,0,1,0,0,0
28,Residential Apartment,Hyderabad,1,3.0,2,1,3,4.0,"5,40,42,21",5084.0,1475.0,1474.978642112,7500000.0,2.0,1,3,Manikonda,17.62948,78.4943,Semi-luxury,1474.978642112,0,0,0,0,0,0,0,1,0,0,0
29,Independent House/Villa,Secunderabad,1,4.0,4,3,3,3.0,"45,12,46,3,47,39,8,9,40,41,30,42",17777.0,4500.0,4499.960381824,75000000.0,3.0,,,Manikonda,17.4609913,78.3532083,Luxury,4499.960381824,0,0,1,0,0,1,1,0,0,0,1
30,Residential Apartment,Hyderabad,1,3.0,2,0,5,40.0,"12,1,3,9",6500.0,2600.0,2600.0225571200003,16900000.0,1.0,12,3,Manikonda,17.6197,78.082693,Semi-luxury,2599.9774428799997,1,0,1,0,0,1,1,0,0,0,0
31,Residential Apartment,Hyderabad,1,3.0,2,5,6,4.0,"23,45,24,47,25,17,19,5,9,40,41,42,21",9090.0,2200.0,2200.0356466559997,20000000.0,4.0,2,3,Manikonda,17.25756,78.85695,Luxury,2199.9643533440003,0,0,0,0,0,1,0,1,1,0,0
32,Independent House/Villa,Hyderabad,1,4.0,2,4,1,2.0,24,129629.0,1215.0,1215.030205952,17500000.0,2.0,,,Manikonda,17.44007494380667,78.64775831900772,Semi-luxury,1214.969794048,0,0,0,0,0,0,0,0,0,0,0
33,Residential Apartment,Hyderabad,1,2.0,2,3,5,15.0,"6,20,21",6800.0,1440.0,1439.995933312,979200000.0,1.0,8,2,Manikonda,17.361288,78.606466,Luxury,1439.995933312,0,0,0,0,1,0,0,1,0,0,0
34,Independent House/Villa,Hyderabad,1,4.0,0,3,5,1.0,"44,45,1,24,3,5,8,19,40,41,42",7656.0,4310.0,4309.977363264001,33000000.0,3.0,,,Manikonda,17.563203,78.401403,Luxury,4309.977363264001,1,0,1,0,0,0,0,0,0,0,0
35,Residential Apartment,Hyderabad,1,2.0,2,3,6,5.0,"33,23,12,24,47,25,26,17,19,1,3,5,6,9,40,41,20,21",6034.0,1160.0,1160.026623808,7000000.0,2.0,3,2,Manikonda,78.48667,17.38504,Luxury,1159.973376192,1,0,1,0,1,1,1,1,1,0,0
36,Independent/Builder Floor,Hyderabad,1,3.0,2,3,2,4.0,"19,9",2781.0,1880.0,1880.024590464,49500000.0,2.0,G,3,Manikonda,17.368876,78.55348,Semi-luxury,1879.975409536,0,0,0,0,0,1,0,0,0,0,0
37,Independent House/Villa,Secunderabad,1,3.0,0,0,3,2.0,"24,5",75418.0,1611.0,1611.0344695679998,13500000.0,1.0,,,Manikonda,17.396115,78.357941,Semi-luxury,1610.9655304320002,0,0,0,0,0,0,0,0,0,0,0
38,Residential Apartment,Hyderabad,1,3.0,0,3,5,13.0,"1,12,3,26,6,29,21",6352.0,1039.0,1039.040270912,6700000.0,1.0,4,3,Manikonda,17.485206408706663,78.60681438946276,Luxury,1038.959729088,1,0,1,0,1,0,1,1,0,1,0
39,Residential Apartment,Hyderabad,1,3.0,4,0,3,30.0,"33,23,12,1,24,3,26,5,17,6,9,21",9368.0,1923.0,1922.9725929600002,17800000.0,1.0,7,3,Manikonda,17.4062722,78.436657,Luxury,1922.9725929600002,1,0,1,0,1,1,1,1,0,0,0
40,Residential Apartment,Hyderabad,1,3.0,4,5,3,5.0,"1,12,6,30,20,21",9726.0,1645.0,1645.0484264320003,16000000.0,2.0,3,3,Manikonda,17.138823,78.474569,Luxury,1644.9515735679997,1,0,0,0,1,0,1,1,0,0,0
41,Independent House/Villa,Hyderabad,1,2.0,2,0,5,2.0,"24,19",93750.0,1440.0,1439.995933312,15000000.0,1.0,,,Manikonda,17.4011618,78.37569,Semi-luxury,1439.995933312,0,0,0,0,0,0,0,0,0,0,0
42,Residential Apartment,Hyderabad,1,3.0,1,3,6,5.0,"5,6,20,21",7812.0,1600.0,1599.9476418559998,12500000.0,2.0,1,3,Manikonda,17.478768,78.575103,Luxury,1599.9476418559998,0,0,0,0,1,0,0,1,0,0,0
43,Independent House/Villa,Hyderabad,1,3.0,2,3,5,3.0,"23,24,5,6,8",6481.0,2700.0,2700.019284736,17500000.0,1.0,,,Manikonda,17.27395,78.59163,Luxury,2699.980715264,0,0,0,0,1,0,0,0,0,0,0
44,Independent House/Villa,Hyderabad,1,4.0,2,3,5,2.0,"24,47,5,8",7045.0,1350.0,1350.009642368,15500000.0,1.0,,,Manikonda,16.985875,78.499864,Luxury,1349.990357632,0,0,0,0,0,0,0,0,0,0,0
45,Residential Apartment,Hyderabad,1,3.0,4,3,1,35.0,"44,33,23,12,24,47,25,26,17,29,19,1,3,5,6,8,9,40,41,20,42,21,32",10536.0,1993.0,1993.045649664,21000000.0,1.0,9,3,Manikonda,17.31144,78.53485,Luxury,1992.954350336,1,0,1,0,1,1,1,1,1,1,0
46,Farm House,Hyderabad,1,4.0,1,3,1,2.0,"44,45,24,46,47,5,6,19,40,41,42,43",3739.0,9360.0,9359.973566528,40000000.0,2.0,,,Manikonda,17.49182,78.32617,Luxury,9359.973566528,0,0,0,0,1,0,0,0,0,0,0
47,Residential Apartment,Hyderabad,1,3.0,1,3,3,4.0,"24,9,40,41,42,21",7692.0,1248.0,1247.967771776,9600000.0,2.0,4,3,Manikonda,17.501856,78.624757,Luxury,1247.967771776,0,0,0,0,0,1,0,1,0,0,0
48,Independent House/Villa,Hyderabad,1,4.0,2,4,1,3.0,"23,12,24,46,25,26,19,1,3,5,6,9,40,41,42",26123.0,2871.0,2870.9501818880003,63000000.0,3.0,,,Manikonda,17.338049,78.612393,Luxury,2870.9501818880003,1,0,1,0,1,1,1,0,1,0,0
49,Residential Land,Hyderabad,1,,0,1,0,3.0,24,9375.0,1440.0,1439.995933312,1500000.0,,,,Manikonda,17.533744,78.428685,Semi-luxury,1439.995933312,0,0,0,0,0,0,0,0,0,0,0
50,Independent House/Villa,Hyderabad,1,2.0,2,0,3,2.0,N,202312.0,3114.0,3113.9992787200003,70000000.0,2.0,,,Manikonda,17.448427,78.687648,Budget,3113.9992787200003,0,0,0,0,0,0,0,0,0,0,0
