PROPERTY_TYPE,OWNTYPE,BEDROOM_NUM,FACING,AGE,TOTAL_FLOOR,PRICE_SQFT,AREA,BALCONY_NUM,FLOOR_NUM,BHK,LATITUDE,LONGITUDE,LUXURY,SWIMMING_POOL,POWER_BACKUP,CLUB_HOUSE,ATM,GYM,WASTE_DISPOSAL,GAS_PIPELINE,PRICE
2.0,1,3.0,4,2,18,11500.0,2705.0,1,13,3,17.533096,78.477854,1.0,1,0,1,1,1,0,1,31100000.0
0.0,1,4.0,0,2,2,6000.0,3000.0,2,2,4,17.484046,78.358808,1.0,0,0,0,0,0,0,0,17000000.0
2.0,1,3.0,4,6,6,6348.0,1520.0,2,5,3,17.233562897673416,78.54189608906688,1.0,0,0,0,0,0,0,0,96500000.0
2.0,1,3.0,3,6,9,8186.0,1820.0,1,3,3,17.518915,78.301535,1.0,1,0,1,1,1,1,1,14900000.0
2.0,1,2.0,3,2,5,5288.0,1040.0,1,1,2,17.399482,78.34253,1.0,1,0,1,1,1,0,0,4800000.0
2.0,1,3.0,4,2,14,9000.0,1920.0,2,12,3,17.450024,78.361293,0.0,0,0,0,0,0,0,0,16500000.0
0.0,1,5.0,5,3,2,8632.0,1506.0,2,2,5,17.327119,78.589535,2.0,0,0,0,0,0,0,0,12500000.0
2.0,1,3.0,4,1,12,10202.0,1725.0,1,0,3,17.25839,78.68112,1.0,1,0,1,1,1,1,1,17600000.0
2.0,0,1.0,4,1,5,18.0,800.0,1,3,1,17.382054,78.488296,0.0,0,0,0,0,0,0,0,14500.0
2.0,1,3.0,0,3,4,11363.0,1500.0,1,0,3,17.4268897,78.4048405,0.0,0,0,0,0,0,0,0,12500000.0
2.0,0,3.0,5,1,20,24.0,1663.0,1,1,3,17.505811,78.539781,1.0,0,0,0,0,0,0,0,40000.0
2.0,1,2.0,3,2,5,6016.0,1230.0,2,4,2,17.3915153,78.4972145,1.0,0,0,0,0,0,0,0,7400000.0
2.0,1,2.0,3,5,5,6200.0,1145.0,2,3,2,17.437953,78.283138,1.0,0,0,0,0,0,0,0,7100000.0
2.0,1,2.0,1,3,3,5647.0,850.0,1,1,2,17.40665,78.396824,0.0,0,0,0,0,0,0,0,4800000.0
0.0,1,12.0,2,2,3,25000.0,2000.0,3,3,12,17.39291,78.33501,1.0,0,0,0,0,0,0,0,50000000.0
2.0,1,2.0,3,6,8,7172.0,1185.0,1,4,2,17.542319,78.226934,1.0,1,0,1,1,1,0,1,8500000.0
2.0,1,2.0,5,3,4,12666.0,750.0,2,2,2,17.478433,78.392116,1.0,0,0,0,0,0,0,0,9500000.0
2.0,1,2.0,3,3,4,4225.0,1420.0,3,3,2,17.584501,78.478388,2.0,0,0,0,0,0,0,0,6000000.0
2.0,1,3.0,3,2,15,8403.0,1800.0,2,3,3,17.250826,78.897132,1.0,1,0,1,1,1,0,0,13000000.0
2.0,1,3.0,3,5,5,6500.0,1815.0,2,3,3,17.5090182,78.3001801,1.0,0,0,0,0,0,0,0,11800000.0
2.0,1,2.0,3,3,4,4900.0,1000.0,2,2,2,17.45227,78.299843,1.0,0,0,0,1,0,0,0,4900000.0
2.0,1,2.0,8,2,5,6372.0,1020.0,2,1,2,17.3566145,78.5105746,1.0,0,0,1,1,1,0,0,7000000.0
0.0,1,6.0,3,2,3,5476.0,4200.0,2,3,6,17.4985957,78.5731826,2.0,0,0,0,0,0,1,0,25000000.0
0.0,1,1.0,0,2,1,75000.0,540.0,1,1,1,17.4556528,78.3667777,0.0,0,0,0,0,0,0,0,4500000.0
2.0,1,2.0,0,3,4,4639.0,819.0,1,1,2,17.40223,78.3444,2.0,0,0,0,0,0,0,0,3800000.0
2.0,1,3.0,3,6,15,6360.0,1525.0,1,7,3,17.40777,78.6025,1.0,1,0,1,1,1,1,1,9700000.0
2.0,1,2.0,3,5,5,3000.0,1050.0,2,2,2,17.519349,78.399539,1.0,0,0,0,0,0,0,0,31500000.0
2.0,1,3.0,4,5,14,6200.0,1754.0,2,13,3,17.4944038,78.5933196,1.0,1,0,1,1,1,0,0,10900000.0
2.0,1,3.0,3,2,5,9625.0,1818.0,3,3,3,17.444521,78.442744,1.0,1,0,1,1,1,0,0,17500000.0
2.0,1,2.0,0,2,5,8629.0,927.0,2,5,2,17.465823,78.407845,0.0,0,0,0,0,0,0,0,8000000.0
2.0,1,3.0,3,6,15,9450.0,2385.0,4,8,3,17.4875547,78.5573109,1.0,1,0,1,1,1,0,1,22500000.0
2.0,1,2.0,0,5,10,7080.0,918.0,1,5,2,0.0,0.0,1.0,1,0,1,0,1,0,0,6500000.0
2.0,1,3.0,1,1,31,11000.0,1695.0,1,0,3,17.360594,78.377846,1.0,1,0,1,1,1,1,1,18600000.0
0.0,1,3.0,4,1,2,11627.0,1800.0,1,2,3,17.2494091,78.4183466,1.0,1,0,1,1,1,0,0,25000000.0
2.0,1,4.0,0,3,4,4062.0,1600.0,3,4,4,78.48667,17.38504,1.0,0,0,0,0,0,0,0,6500000.0
2.0,1,2.0,3,5,5,4500.0,1225.0,1,1,2,17.71607,78.52229,1.0,0,0,0,1,0,0,0,5800000.0
2.0,1,3.0,4,3,5,7000.0,1320.0,1,3,3,17.455021,78.302556,1.0,0,0,0,1,0,1,0,92400000.0
2.0,1,3.0,3,6,5,4916.0,1790.0,3,3,3,78.48667,17.38504,1.0,0,0,0,0,0,0,0,8800000.0
2.0,1,3.0,3,1,5,6250.0,1680.0,1,5,3,17.49479,78.39964,1.0,1,0,1,0,1,0,1,10500000.0
2.0,1,3.0,3,1,12,9030.0,1495.0,1,9,3,17.450947,78.281192,1.0,0,0,0,0,0,0,0,13500000.0
2.0,1,3.0,3,5,4,6003.0,1725.0,2,1,3,17.228693,78.577689,1.0,0,0,0,0,0,0,0,10200000.0
2.0,1,3.0,3,5,35,7700.0,1905.0,2,35,3,17.280656,78.635099,1.0,1,0,1,1,1,1,1,16200000.000000002
2.0,1,3.0,3,3,10,7427.0,1683.0,2,1,3,17.453653,78.302787,1.0,1,0,1,1,1,1,1,12200000.0
2.0,1,2.0,3,5,5,10714.0,840.0,1,5,2,17.180389,78.486736,1.0,0,0,0,0,0,0,0,9000000.0
0.0,1,4.0,3,5,2,11578.0,3800.0,2,2,4,17.5362492,78.2396486,1.0,0,0,0,0,0,0,0,44000000.0
2.0,1,3.0,3,5,17,6100.0,1725.0,2,4,3,17.47308,78.79704,1.0,0,0,0,0,0,0,0,10500000.0
2.0,1,3.0,4,6,9,10824.0,2230.0,1,6,3,17.492624,78.5435,1.0,1,0,1,0,1,0,1,19700000.0
0.0,1,3.0,4,1,2,14741.0,1650.0,2,2,3,17.509668,78.196121,1.0,1,0,1,1,1,1,1,18500000.0
0.0,1,3.0,3,3,1,46961.0,3258.0,1,1,3,17.42169,78.21842,1.0,0,0,0,0,0,1,0,18000000.0
2.0,1,1.0,5,1,5,4400.0,625.0,1,3,1,17.6197,78.082693,1.0,0,0,1,0,0,0,0,27500000.0
0.0,1,2.0,3,5,1,4683.0,1815.0,2,1,2,17.16671518425292,78.29562544721442,1.0,0,0,0,0,0,1,0,7800000.0
0.0,1,6.0,4,2,4,4218.0,6400.0,4,4,6,17.461703,78.436274,1.0,0,0,0,0,0,0,0,27000000.0
2.0,1,3.0,3,1,10,6071.0,1894.0,4,5,3,17.96039,78.48343,1.0,1,0,1,1,1,0,1,11500000.0
0.0,1,5.0,3,6,3,8476.0,1800.0,1,3,5,17.468576,78.281361,1.0,0,0,0,0,1,1,0,32000000.0
2.0,1,3.0,0,6,14,7213.0,1525.0,1,7,3,17.38504,78.48667,1.0,1,0,1,1,1,0,1,11000000.0
2.0,1,3.0,5,3,4,2833.0,1200.0,1,0,3,17.6577589,78.5967949,0.0,0,0,0,0,0,0,0,3400000.0
2.0,1,3.0,3,1,22,10555.0,2100.0,2,8,3,17.5362492,78.2396486,1.0,0,0,1,0,0,0,0,19000000.0
0.0,1,6.0,6,6,3,4179.0,3350.0,2,3,6,17.48095,78.57034,2.0,0,0,0,0,0,0,0,14000000.0
2.0,1,3.0,3,5,5,5500.0,1580.0,3,5,3,17.4985957,78.5731826,1.0,0,0,0,1,0,1,0,86900000.0
2.0,1,2.0,4,1,31,12557.0,1314.0,1,21,2,17.6197,78.082693,1.0,1,0,1,1,1,1,1,15500000.0
2.0,1,3.0,4,1,5,8956.0,1686.0,2,3,3,16.5609,77.85031,1.0,0,0,1,1,1,1,0,15100000.0
0.0,2,2.0,1,2,1,75878.0,1126.0,1,1,2,17.5468498,78.3650231,1.0,0,0,0,0,0,0,0,8500000.0
2.0,1,2.0,5,2,4,3965.0,1160.0,2,4,2,17.366353,78.58283,1.0,0,0,0,0,0,0,0,4600000.0
2.0,1,2.0,0,1,5,4770.0,1090.0,1,5,2,17.428952,78.197469,1.0,0,0,0,1,0,0,0,5200000.0
1.0,1,2.0,4,3,2,3611.0,1800.0,2,0,2,17.5587337,78.2674059,2.0,0,0,0,0,0,0,0,6500000.0
0.0,1,4.0,4,3,2,68181.0,1980.0,1,2,4,17.4570123,78.3645684,1.0,0,0,0,0,0,1,0,15000000.0
2.0,1,3.0,0,5,20,5303.0,1367.0,2,7,3,17.420439,78.361183,1.0,1,0,1,0,1,0,0,72500000.0
2.0,1,3.0,4,6,30,9109.0,1965.0,2,23,3,17.49948,78.56325,1.0,1,0,1,1,1,0,1,17900000.0
2.0,1,2.0,3,6,24,12015.0,1290.0,1,14,2,17.446213,78.393682,1.0,1,0,1,1,1,1,1,15500000.0
2.0,1,2.0,0,1,6,9705.0,1121.0,2,3,2,0.0,0.0,1.0,1,0,1,1,1,1,0,10200000.0
2.0,1,4.0,4,5,15,4700.0,2715.0,2,4,4,17.135408,78.427138,1.0,0,0,0,0,0,0,0,12500000.0
2.0,1,2.0,0,5,5,4463.0,1053.0,2,2,2,17.516921331619965,77.89804423183968,1.0,0,0,0,1,0,0,0,4700000.0
2.0,1,3.0,0,5,5,4466.0,1500.0,3,1,3,17.47234,78.419588,1.0,0,0,0,1,0,0,0,6700000.0
2.0,1,2.0,4,5,14,4750.0,1200.0,2,8,2,78.48667,17.38504,1.0,1,0,1,1,1,0,0,5900000.0
2.0,1,3.0,3,2,5,6518.0,1350.0,1,3,3,17.441696,78.508641,1.0,0,0,0,1,0,0,0,8800000.0
2.0,1,2.0,1,1,4,4644.0,1335.0,2,3,2,17.3887844,78.348562,0.0,0,0,0,0,0,0,0,6200000.0
2.0,1,3.0,3,6,35,9517.0,2259.0,3,31,3,17.47078,78.30668,1.0,1,0,1,1,1,0,0,21500000.0
2.0,1,2.0,3,6,5,6167.0,1135.0,1,2,2,17.372921,78.517049,1.0,0,0,0,0,1,0,0,7000000.0
2.0,1,2.0,4,1,5,7190.0,1210.0,1,4,2,17.51069,78.547467,1.0,1,0,1,1,1,1,0,8700000.0
0.0,1,2.0,1,2,1,61333.0,1350.0,1,1,2,17.536121,78.289779,1.0,0,0,0,0,0,0,0,9200000.0
2.0,1,2.0,0,3,5,6578.0,1140.0,1,2,2,17.5090182,78.3001801,0.0,0,0,0,0,0,0,0,7500000.0
2.0,2,3.0,3,2,6,7187.0,1600.0,1,2,3,17.20869,78.47603,1.0,0,0,0,0,0,0,0,11500000.0
0.0,1,2.0,1,3,1,39024.0,2767.0,4,1,2,17.063734,78.488644,1.0,0,0,0,0,0,0,0,12000000.0
2.0,1,3.0,3,1,5,7936.0,1575.0,2,3,3,17.5213398,78.3949566,1.0,0,0,0,0,0,0,0,12500000.0
2.0,1,4.0,6,5,7,4655.0,1901.0,2,2,4,17.4164707,78.4382469,1.0,0,0,1,1,0,0,0,88500000.0
2.0,1,2.0,3,6,5,7007.0,842.0,2,2,2,17.620662,77.953509,1.0,1,0,1,1,1,1,0,5900000.0
0.0,1,6.0,0,2,2,88785.0,963.0,2,2,6,17.524382,78.427235,0.0,0,0,0,0,0,0,0,9700000.0
2.0,1,3.0,4,3,5,6000.0,1600.0,2,3,3,17.407552,78.337696,1.0,0,0,0,1,0,0,0,9000000.0
2.0,1,3.0,3,3,3,3851.0,1350.0,2,1,3,17.450436,78.424385,1.0,0,0,0,1,0,0,0,5200000.0
2.0,1,2.0,4,3,5,6589.0,1032.0,2,1,2,17.4066129,78.3941767,1.0,0,0,1,1,0,0,0,7000000.0
2.0,1,2.0,1,6,5,6667.0,1140.0,2,2,2,17.4769491,78.5598292,1.0,1,0,0,0,1,0,0,7600000.0
2.0,1,3.0,3,5,45,10666.0,3330.0,1,37,3,17.3923634,78.3621784,1.0,1,0,1,1,1,1,1,24000000.0
2.0,1,3.0,3,5,5,6000.0,2200.0,3,2,3,17.07139,78.205312,1.0,0,0,0,0,0,0,1,13200000.0
2.0,1,3.0,3,6,5,7300.0,1513.0,2,5,3,17.50107,78.59508,1.0,0,0,0,0,0,0,0,12300000.0
2.0,1,3.0,4,6,22,8334.0,2100.0,2,16,3,17.4011618,78.37569,2.0,1,0,1,0,1,0,0,17500000.0
2.0,1,2.0,5,5,4,6048.0,1240.0,2,1,2,17.3697735,78.5618265,2.0,0,0,0,0,0,0,0,7500000.0
2.0,1,3.0,4,5,5,7000.0,1593.0,2,1,3,17.492871,78.239079,1.0,0,0,0,0,0,0,0,12500000.0
0.0,1,4.0,3,6,2,6346.0,2600.0,2,2,4,17.626354,78.400816,2.0,0,0,0,0,0,0,0,16500000.0
2.0,1,2.0,3,3,4,5184.0,1103.0,2,3,2,17.591122,78.569709,1.0,0,0,0,0,0,0,0,5200000.0
2.0,1,2.0,4,1,27,10164.0,1279.0,2,14,2,17.4664197,78.285342,1.0,1,0,1,1,1,1,1,13000000.0
0.0,0,4.0,4,6,3,20.0,3650.0,3,3,4,17.620662,77.953509,1.0,1,0,1,1,1,1,0,75000.0
2.0,1,2.0,4,2,5,7777.0,1150.0,2,5,2,17.40223,78.3444,1.0,0,0,0,0,0,0,0,7000000.0
